"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"AC";"AC";"ACRE";10070;1;99;"Outros bens e direitos";"Caderneta de Poupança na Caixa Economica Federal, saldo em 31/12/2005";"9667,37";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"AC";"AC";"ACRE";10070;2;99;"Outros bens e direitos";"Um Imovel residencial, localizado no conjunto Procon, QD-B, CS-27, vila ivonete, Rio Branco-Acre, Adquirido pelo SFH em 1987";"34909,05";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"AC";"AC";"ACRE";10075;1;99;"Outros bens e direitos";"Um lote de terra rural localizado na BR 364, KM42, lote 144, adquirido de Antonio Ferreira Lima, em 13/12/2002, conforme escritura publica";"15000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"AC";"AC";"ACRE";10075;2;99;"Outros bens e direitos";"Um terreno sito na Rua Piauí, titulo 495, com uma casa em alvenaria coberta de zinco adquirida em 05/11/1984";"18000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"AC";"AC";"ACRE";10075;3;99;"Outros bens e direitos";"Um terreno situado a Avenida Brasil com uma casa casa em alvenaria comberta de zinco, titulo 1771, adquirida em 09/09/1983";"50000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"AC";"AC";"ACRE";10075;4;99;"Outros bens e direitos";"Um terreno situado a Rua Piauí, medindo 6,5 x 25 m titulo 497, adquirido em 01/08/1988";"4000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"AC";"AC";"ACRE";10075;5;99;"Outros bens e direitos";"Uma Area de terra rural, denominada Colonia Santo Antonio, lote 155, gleba 02, com 49,8679 ha, sito Km 43, BR 364 adquirido 05/03/1999 com 52 cabeça de boi adquirido em 2000, mais 18 crias em 2005";"40000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"AC";"AC";"ACRE";10075;6;99;"Outros bens e direitos";"Uma linha telefonica adquirida em 08/1991";"100,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"AC";"AC";"ACRE";10075;7;99;"Outros bens e direitos";"Uma moto Honda CG 125, ano de fabricação 2002, cor Vermelha";"2500,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"AC";"AC";"ACRE";10093;1;99;"Outros bens e direitos";"Uma área de terra urbana medindo: 12 m de frente por 25 m de fundo, com uma casa mista medindo 12 x 9, localizada na Travessa Wilson Ribeiro, 189 - Taquarí, Rio Branco-Ac";"15000,00";"#NE";"#NE"
