"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"AM";"AM";"AMAZONAS";10528;1;99;"Outros bens e direitos";"Nenhum bem a declarar";"0,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"AM";"AM";"AMAZONAS";10536;1;99;"Outros bens e direitos";"COTA DE CAPITAL SOCIAL DA FIRMA CHÍXARO, CAVALCANTE   ARANTIS ADVOGADOS ASSOCIADOS S/C CNPJ 03939843/0001-46";"10000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"AM";"AM";"AMAZONAS";10536;2;99;"Outros bens e direitos";"UM LOTE DE TERRA NO CONJUNTO ITAPORANGA N 123 QUADRA 1 PONTA NEGRA MANAUS-AM";"22000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"AM";"AM";"AMAZONAS";10536;3;99;"Outros bens e direitos";"UM VEÍCULO DE MARCA FIAT MODELO SIENA/FIRE ANO 2002.";"30000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"AM";"AM";"AMAZONAS";10536;4;99;"Outros bens e direitos";"UM VEÍCULO MARCA RENAULT MODELO CLIO ANO 2000 PLACA JWS 4078 FINANCIADO JUNTO AO BANCO DISBENS LE LEASING EM 24 PARCELAS DE R$ 953,26";"22878,24";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"AM";"AM";"AMAZONAS";10536;5;99;"Outros bens e direitos";"UM VEÍCULO RENAULT MODELO SCÉNIC RXE 1.6 ANO 2002/03 FINANCIADO JUNTO AO BANCO DE BENS SA EM 12 PARCELAS DE R$ 2.110,39";"45103,90";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"AM";"AM";"AMAZONAS";10536;6;99;"Outros bens e direitos";"UMA CASA SITO À ALAMEDA PERU 76 CJ JARDIM DAS AMÉRICAS ESTRADA DA PONTA NEGRA";"750000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"AM";"AM";"AMAZONAS";10536;7;99;"Outros bens e direitos";"VEÍCULO MARCATOYOTA MODELO COROLLA SEDAM ANO 2004";"60934,60";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"AM";"AM";"AMAZONAS";10542;1;99;"Outros bens e direitos";"Nenhum bem a declarar";"0,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"AM";"AM";"AMAZONAS";10587;1;99;"Outros bens e direitos";"APTO 702 ED. FAROL DA PONTA NEGRA-MANAUS-AM";"338554,69";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"AM";"AM";"AMAZONAS";10587;2;99;"Outros bens e direitos";"AÇÕES DIVERSAS";"1304,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"AM";"AM";"AMAZONAS";10587;3;99;"Outros bens e direitos";"BANCO BRADESCO CONTA CORRENTE";"14329,46";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"AM";"AM";"AMAZONAS";10587;4;99;"Outros bens e direitos";"BRADESCO FIC HIPERFUNDO";"254077,69";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"AM";"AM";"AMAZONAS";10587;5;99;"Outros bens e direitos";"BRADESCO PRIME- FIC RF PLUS";"69194,76";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"AM";"AM";"AMAZONAS";10587;6;99;"Outros bens e direitos";"CASA NA PRAÇA HELIODORO BALBY 105-MANAUS";"55925,58";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"AM";"AM";"AMAZONAS";10587;7;99;"Outros bens e direitos";"FUNDO DE INVESTIMENTO BANCO SAFRA";"250207,69";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"AM";"AM";"AMAZONAS";10587;8;99;"Outros bens e direitos";"LETRAS HIPOTECARIAS / POUPANÇA BANCO -SAFRA";"9656,72";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"AM";"AM";"AMAZONAS";10587;9;99;"Outros bens e direitos";"LOTE DE TERRA COM 600 M2, NO CONJUNTO JARDIM EUROPA";"41638,20";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"AM";"AM";"AMAZONAS";10587;10;99;"Outros bens e direitos";"PARCERIA RURAL - GADO BOVINO , COM 3.374 CABEÇAS";"700000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"AM";"AM";"AMAZONAS";10587;11;99;"Outros bens e direitos";"QUOTAS DE CAPITAL NA EMPRESA PARINTINS ALTOMOVEIS LTDA";"610915,00";"#NE";"#NE"
