"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"BR";"BR";"BRASIL";1;1;99;"Outros bens e direitos";"1.786.261 COTAS DO FUNDO DE INVESTIMENTO MERIDIAN U.S. HIGH YIELD FUND CLASS B1, F.S.B. NOS ESTADOS UNIDOS DA AMÉRICA,CORRESPONDENTE A US$ 22.026,38 DÓLARES AMERICANOS.";"51539,53";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"BR";"BR";"BRASIL";1;2;99;"Outros bens e direitos";"2.042.739 COTAS DO FUNDO DE INVESTIMENTO MERIDIAN GLOBAL EQUITY FUND CLASS B1, F.S.B. NOS ESTADOS UNIDOS DA AMÉRICA,CORRESPONDENTE A US$ 47.452,82 DÓLARES AMERICANOS.";"111034,85";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"BR";"BR";"BRASIL";1;3;99;"Outros bens e direitos";"2.070.904 COTAS DO FUNDO DE INVESTIMENTO MERIDIAN EMERGING MARKTES DEBT FUND CLASS B1,F.S.B. NOS ESTADOS UNIDOS DA AMÉRICA, CORRESPONDENTE A US$ 36.489,32 DÓLARES AMERICANOS.";"85381,36";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"BR";"BR";"BRASIL";1;4;99;"Outros bens e direitos";"2.103.020 COTAS DO FUNDO DE INVESTIMENTO SBGH GLOBAL HIGH YELD BOND FUND CLASS B (ACC),F.S.B. NOS ESTADOS UNIDOS DA AMÉRICA, CORRESPONDENTE A US$ 22.439,22 DÓLARES AMERICANOS.";"52505,53";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"BR";"BR";"BRASIL";1;5;99;"Outros bens e direitos";"2.237.905 COTAS DO FUNDO DE INVESTIMENTO TEMPLETON GLOBAL BOND FUND CLASS B (DIS),F.S.B. NOS ESTADOS UNIDOS DA AMÉRICA CORRESPONDENTE A US$ 31.554,46 DÓLARES AMERICANOS.";"73834,28";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"BR";"BR";"BRASIL";1;6;99;"Outros bens e direitos";"2.967.656 COTAS DO FUNDO DE INVESTIMENTO MERIDIAN STRATEGIC INCOME FUND CLAS B1,F.S.B. NOS ESTADOS UNIDOS DA AMÉRICA, CORRESPONDENTE A US$ 32.911,30 DÓLARES AMERICANOS.";"77009,15";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"BR";"BR";"BRASIL";1;7;99;"Outros bens e direitos";"2.993.038  COTAS DO FUNDO DE INVESTIMENTO SBGH DIVERSIFIED STRATEGIC INCOME FUND CLASS B (ACC),F.S.B. NOS ESTADOS UNIDOS DA AMÉRICA, CORRESPONDENTE A US$ 32.923,41 DÓLARES AMERICANOS ";"77037,49";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"BR";"BR";"BRASIL";1;8;99;"Outros bens e direitos";"4.373.875 AÇÕES ORDINÁRIAS NOMINATIVAS DA SOCIEDADE ANÔNIMA BRASIPAR PARTICIPAÇÕES S.A., CNPJ N. 03.936.202/0001-38";"6678575,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"BR";"BR";"BRASIL";1;9;99;"Outros bens e direitos";"46.000 (QUARENTA E SEIS MIL ) AÇÕES DA EMPRESA  EXCELSIOR   PARTNERS INC., SUBSCRITAS PELO VALOR DE US$ 46.000,00 (QUARENTA E SEIS MIL DÓLARES AMERICANOS).";"135240,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"BR";"BR";"BRASIL";1;10;99;"Outros bens e direitos";"50% DO LOTE 22 QUADRA B-2 LOTEAMENTO MARINAS DO AQUIRÁ IPOJUCA/PE";"42757,11";"#NE";"#NE"
