"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"CE";"CE";"CEARÁ";10115;8;99;"Outros bens e direitos";"SITIO GUARIBAS-CE";"29416,28";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"CE";"CE";"CEARÁ";10115;9;99;"Outros bens e direitos";"UM TERRENO COM CASA NA TAIBA, EM SÃO GONÇALO DO AMARANTE-CE";"41638,37";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"CE";"CE";"CEARÁ";10115;10;99;"Outros bens e direitos";"UM TERRENO DENOMINADO LAGOA GRANDE EM APUIARES-CE";"20910,55";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"CE";"CE";"CEARÁ";10115;11;99;"Outros bens e direitos";"UM TERRENO EM CANINDE-CE";"13879,45";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"CE";"CE";"CEARÁ";10115;12;99;"Outros bens e direitos";"UM TERRENO NO PARQUE SABIAGUABA";"2775,89";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"CE";"CE";"CEARÁ";10115;13;99;"Outros bens e direitos";"UM TERRENO URBANO COM CASA NA TAIBA, EM SÃO GOÇALO DO AMARANTE-CE";"20910,55";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"CE";"CE";"CEARÁ";10115;14;99;"Outros bens e direitos";"UMA PROPRIEDADE DENOMINADA FAZENDA CAETANO EM APUIARES-CE";"27758,91";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"CE";"CE";"CEARÁ";10115;15;99;"Outros bens e direitos";"UMA PROPRIEDADE DENOMINADA ILHA EM APUIARES-CE";"27758,91";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"CE";"CE";"CEARÁ";10115;16;99;"Outros bens e direitos";"UMA PROPRIEDADE DENOMINADA ILHA I EM APUIARES-CE";"29416,28";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"CE";"CE";"CEARÁ";10115;17;99;"Outros bens e direitos";"UMA PROPRIEDADE DENOMINADA ILHA II EM APUIARES-CE";"29416,28";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"CE";"CE";"CEARÁ";10115;18;99;"Outros bens e direitos";"UMA PROPRIEDADE DENOMINADA LAGOA ACARA";"13879,45";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"CE";"CE";"CEARÁ";10350;1;99;"Outros bens e direitos";"50% DOS LOTES NS. 450/460 SITUADO NO SAAN QD 03 - BRASÍLIA-DF";"51352,76";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"CE";"CE";"CEARÁ";10350;2;99;"Outros bens e direitos";"50% NO PRÉDIO COMERCIAL SITUADO NO SAAN QUADRA 03, N.S 390/400";"157000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"CE";"CE";"CEARÁ";10350;3;99;"Outros bens e direitos";"APORTE PARA FUTUTO AUMENTO DA CAPITAL SOCIAL NA SOCIEDADE POR AÇÕES SANTA MÔNICA AGROPECURÁRIA E SERVIÇOS S/A";"595448,06";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"CE";"CE";"CEARÁ";10350;4;99;"Outros bens e direitos";"PARTE DE UM IMÓVEL RURAL NO SÍTIO VARZEA GRANDE - LAVRAS DA MANGABEIRA/CE";"4143,43";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"CE";"CE";"CEARÁ";10350;5;99;"Outros bens e direitos";"PARTE DE UM IMÓVEL RURAL, SITUADO NO SÍTIO LAGES - LAVRAS DA MANGABEIRA ";"5524,59";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"CE";"CE";"CEARÁ";10350;6;99;"Outros bens e direitos";"PARTE DE UM IMÓVEL RURAL, SITUADO NO SÍTIO VARZEA GRANDE - LAVRAS DA MANGABEIRA/CE";"15468,83";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"CE";"CE";"CEARÁ";10350;7;99;"Outros bens e direitos";"PARTE DE UM IMÓVEL RURAL, SITUADO NO SÍTIO VARZEA GRANDE - LAVRAS DA MANGABEIRA/CE";"2209,84";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"CE";"CE";"CEARÁ";10350;8;99;"Outros bens e direitos";"PARTICIPAÇÃO DA COMPRA DO IMÓVEL CONSTITUÍDO DO LOTE 1 DA VIA QNN12/14 DA QNN12 - CEILÂNDIA/DF";"400000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"CE";"CE";"CEARÁ";10350;9;99;"Outros bens e direitos";"PARTICIPAÇÃO DE 40% DAS COTAS DE CAPITAL DA FIRMA CORPVS SEGURANÇA ELETRÔNICA LTDA";"24000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"CE";"CE";"CEARÁ";10350;10;99;"Outros bens e direitos";"PARTICIPAÇÃO DE 40% DAS COTAS DE CAPITAL DA FIRMA TAXI AÉRIO CONFIANÇA LTDA";"40000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"CE";"CE";"CEARÁ";10350;11;99;"Outros bens e direitos";"PARTICIPAÇÃO DE 41,6667% NAS COTAS DE CAPITAL DA FIRMA CONFEDERAL VIGILÂNCIA E SEGURANÇA LTDA";"500000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"CE";"CE";"CEARÁ";10350;12;99;"Outros bens e direitos";"PARTICIPAÇÃO DE 43,33% NAS COTAS DE CAPITAL DA FIRMA DATERRANET BUREAU DE INFORMÁTICA LTDA";"6500,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"CE";"CE";"CEARÁ";10350;13;99;"Outros bens e direitos";"PARTICIPAÇÃO DE 46,73% NA SOCIEDADE DATERRA VEÍCULOS S/A";"2608188,25";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"CE";"CE";"CEARÁ";10350;14;99;"Outros bens e direitos";"PARTICIPAÇÃO DE 49,35% NAS COTAS DE CAPITAL DA CONFERE COM SERVIÇOS DE ALIMENTAÇÃO E PRODUTOS DE SEGURANÇA ELETRÔNICA LTDA";"689000,50";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"CE";"CE";"CEARÁ";10350;15;99;"Outros bens e direitos";"PARTICIPAÇÃO DE 50% DAS COTAS DE CAPITAL DA FIRMA CONSTRUTORA THEMA LTDA";"468838,00";"#NE";"#NE"
