"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10494;1;99;"Outros bens e direitos";"UM VEÍCULO GOL/1984";"2500,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10494;2;99;"Outros bens e direitos";"UMA PROPRIEDADE COM APROX. TRÊS HECTARES DE TERRA EM PINHEIROS/ES";"20000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10494;3;99;"Outros bens e direitos";"UMA PROPRIEDADE COM APROXIMADAMENTE 3 ALQUEIRES DE TERRA.";"90000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10494;4;99;"Outros bens e direitos";"UMA PROPRIEDADE COM APROXIMADAMENTE, SETE ha E MEIO DE TERRA, LOCALIZADA EM CAETETU, ZONA RURAL DESTE MUNICÍPIO";"70000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10497;1;99;"Outros bens e direitos";"UM AUTOMÓVEL PREMIO/FIAT, 1993.";"3000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10497;2;99;"Outros bens e direitos";"UMA CASA RESIDENCIAL, 100M² EM PINHEIROS/ES";"70000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10497;3;99;"Outros bens e direitos";"UMA CASA RESIDENCIAL, DE 35M², CONCEIÇÃO DA BARRA/ES";"30000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10507;1;99;"Outros bens e direitos";"Nenhum bem a declarar";"0,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10510;1;99;"Outros bens e direitos";"01 SALA COMERCIAL";"13789,45";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10510;2;99;"Outros bens e direitos";"03 -APARTAMENTOS- PERFAZENDO O TOTAL DE";"291852,63";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10510;3;99;"Outros bens e direitos";"03- PROPRIEDADES RURAL PERFAZENDO O TOTAL DE ";"32870,93";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10510;4;99;"Outros bens e direitos";"04 - VEICULOS PERFAZENDO O TOTAL DE ";"123832,66";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10510;5;99;"Outros bens e direitos";"23 - LOTES PERFAZENDO O TOTAL DE ";"16100,11";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10518;1;99;"Outros bens e direitos";"01 SALA COMERCIAL";"7250,16";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10518;2;99;"Outros bens e direitos";"01 VEICULO HILUX";"115000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10518;3;99;"Outros bens e direitos";"01 VEICULO TOYOTA";"68000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10518;4;99;"Outros bens e direitos";"05 FAZENDAS TOTALIZANDO";"586883,31";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10518;5;99;"Outros bens e direitos";"06 TERRENOS RURAIS TOTALIZANDO";"173913,84";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10527;1;99;"Outros bens e direitos";"Nenhum bem a declarar";"0,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10532;1;99;"Outros bens e direitos";"Nenhum bem a declarar";"0,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10191;1;99;"Outros bens e direitos";"3 lotes de terreno de n. 18, 20 e 22 localizados na quadra C Bairro Belo Horizonte - Marataízes/ES";"12000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10191;2;99;"Outros bens e direitos";"3 lotes de terreno no aterro da Condusa em Vitória/ES";"124915,31";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10191;3;99;"Outros bens e direitos";"Apartamento Ed. Apolo em Guarapari/ES";"48578,65";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10191;4;99;"Outros bens e direitos";"Apartamento com garagem localizado no Ed. Dom Bosco - Rua Costa Pereira 70/74 - Centro - Cachoeiro de Itapemirim/ES";"40000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10191;5;99;"Outros bens e direitos";"Apartamento de n. 1004 no Ed. Park Lane - Rua Vinícius Torres, 29 - Praia da Costa - Vila  Velha/ES";"100173,50";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10191;6;99;"Outros bens e direitos";"Apartamento de n. 704 no Bloco 2 da Rua Sambaiba, 699 - Rio de Janeiro/RJ";"164408,67";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10191;7;99;"Outros bens e direitos";"Apartamento do Ed. Dom Bosco em Cachoeiro de Itapemirim/ES";"18043,25";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10191;8;99;"Outros bens e direitos";"Apartamento em Marataízes/ES";"13879,44";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10191;9;99;"Outros bens e direitos";"Apartamento menor de n. 07  no 6. pavimento - Rua Costa Pereira 70/74 - Cachoeiro de Itapemirim/ES";"11103,44";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10191;10;99;"Outros bens e direitos";"Apartamento na Rua Fábio Rusk, 133 - Bento Ferreira - Vitória/ES";"59417,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10191;11;99;"Outros bens e direitos";"Apartamento na Rua Paulo Barreto, 46 - Rio de Janeiro/RJ";"111035,70";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10191;12;99;"Outros bens e direitos";"Apartamento no Ed. Pietá, Praia do Canto - Vit/oria/ES";"208191,80";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10191;13;99;"Outros bens e direitos";"Aplicação em CDB no Banco Bradesco S/A em conjunto com a Sra. Norma Ayub Alves";"4940,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10191;14;99;"Outros bens e direitos";"Aquisição de 50% de uma área de terra com benfeitorias na Av. Alcino Dadalto, s/n - Cachoeiro de Itapemirim/ES em parceria com os herdeiros de Rene Arid";"50000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10191;15;99;"Outros bens e direitos";"Automóvel marca Mercedes Benz modelo E320EP ano 98 mod 99";"117494,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10191;16;99;"Outros bens e direitos";"Automóvel marca Wolkswagem modelo Passat ano 99";"50000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10191;17;99;"Outros bens e direitos";"Blindagem do veículo modelo Passat";"40000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10191;18;99;"Outros bens e direitos";"Blindagem em veículo Lexus ES 300";"40000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10191;19;99;"Outros bens e direitos";"Casa residencial construida em um terreno de 420 m na Rua Norte, 96 - Jaciguá - Vargem Alta/ES em parceria com sua irmã Helle Nice F. Nassif";"2081,82";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10191;20;99;"Outros bens e direitos";"Casa residencial na Av. Leitão da Silva em Vitória/ES";"97156,09";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10191;21;99;"Outros bens e direitos";"Casa residencial na Rua Dr. Gualter Novaes de Azevedo, 01  - Bairro Otto Marins - Cachoeiro de Itapemirim/ES";"111035,70";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10191;22;99;"Outros bens e direitos";"Casa residencial situada na Av. Alcino Dadalto. S/N  - B. Monte Cristo - Cachoeiro de Itapemirim/ES";"30000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10482;1;99;"Outros bens e direitos";"CAMINHÃO GMC ANO 1998";"41555,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10482;2;99;"Outros bens e direitos";"CONTA NO BANESTES 0049";"0,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10482;3;99;"Outros bens e direitos";"UM VEÍCULO CORSA/SEDAN ";"21700,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10482;4;99;"Outros bens e direitos";"UM VEÍCULO VW/GOL ";"7000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"ES";"ES";"ESPÍRITO SANTO";10249;1;99;"Outros bens e direitos";"1.000 cotas no valor de R$ 10,00 cada uma, da empresa Victaura Cosntrutora Ltda em nome de Glara Fernandes Moreira";"10000,00";"#NE";"#NE"
