"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PI";"PI";"PIAUÍ";10114;1;99;"Outros bens e direitos";"APARTAMENTO EDIFICIO LEONARDO DA VINCI, EM TERESINA";"112000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PI";"PI";"PIAUÍ";10114;2;99;"Outros bens e direitos";"SEGUE EM ANEXO A RELAÇÃO DOS DEMAIS BENS";"0,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PI";"PI";"PIAUÍ";10114;3;99;"Outros bens e direitos";"TERRENO EM SDÃO JOÃO DO PIAUÍ (PI)";"3349,74";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PI";"PI";"PIAUÍ";10114;4;99;"Outros bens e direitos";"UMA CASA PARA CONSULTÓRIO EM SÃO JOÃO DO PIAUÍ (PI)";"50246,20";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PI";"PI";"PIAUÍ";10142;1;99;"Outros bens e direitos";"DECLARAÇÃO BENS ANEXA";"0,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PI";"PI";"PIAUÍ";10145;1;99;"Outros bens e direitos";"DECLARAÇÃO BENS ANEXA";"0,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PI";"PI";"PIAUÍ";10154;1;99;"Outros bens e direitos";"DECLARAÇÃO BENS ANEXA";"0,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PI";"PI";"PIAUÍ";10157;1;99;"Outros bens e direitos";"DECLARAÇÃO BENS ANEXA";"0,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PI";"PI";"PIAUÍ";10166;1;99;"Outros bens e direitos";"CASA RESIDENCIAAL";"20000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PI";"PI";"PIAUÍ";10166;2;99;"Outros bens e direitos";"CASA RESIDENCIAL";"15000,00";"#NE";"#NE"
