"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10803;1;99;"Outros bens e direitos";"2000 ações, tipo PNB, da Aracruz Celulosa S/A";"17357,43";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10803;2;99;"Outros bens e direitos";"3000 ações, tipo PNB, da Eternit S/A";"20289,18";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10803;3;99;"Outros bens e direitos";"Apartamento na rua Mal. Mallet, 384 - 1B em Curitiba/Pr.";"93322,79";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10803;4;99;"Outros bens e direitos";"Automóvel GM, Modelo Vectra";"30500,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10803;5;99;"Outros bens e direitos";"Motocicleta Suzuki GSX 1300 R";"31500,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10803;6;99;"Outros bens e direitos";"Saldo c/c Banco Itaú";"657,37";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10803;7;99;"Outros bens e direitos";"Saldo c/c Banco do Brasil";"7255,99";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10803;8;99;"Outros bens e direitos";"Veículo Fiesta Street 2002";"18500,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10803;9;99;"Outros bens e direitos";"terreno com casa de madeira- lote 9 quadra 39- Guaratuba";"60000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10814;1;99;"Outros bens e direitos";"7.000 cotas da Empresa Radio Educadora Inconfidência de Umuarama Ltda.";"7000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10814;2;99;"Outros bens e direitos";"73 quotas de capital da Empresa Radio em Jóia Ltda.,";"7300,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10814;3;99;"Outros bens e direitos";"Apartamento Edif. Burle Marx, construção em andamento";"82241,09";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10814;4;99;"Outros bens e direitos";"Apartamento n.304, Edif. Savannah, Matinhos-PR, c/área de 98,10m2";"60000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10814;5;99;"Outros bens e direitos";"Banco Itaú S.A";"983,11";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10814;6;99;"Outros bens e direitos";"Banco Itaú S.A";"1253,17";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10814;7;99;"Outros bens e direitos";"Banco Itaú S.A";"477,32";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10814;8;99;"Outros bens e direitos";"Cia. Itaú de Capitalização";"421,10";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10814;9;99;"Outros bens e direitos";"Consorcio Corsa 1.0, cota 042, plano 50 meses";"23978,69";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10814;10;99;"Outros bens e direitos";"Consórcio Adm p/Autorama Automóveis Umuarama Ltda.";"28522,63";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10814;11;99;"Outros bens e direitos";"Data 01, Q 06, Zona 01, c/área de 521,60m2, c/casa resid, em alvenaria c/ 264,50m2 - Umuarama-PR";"40000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10814;12;99;"Outros bens e direitos";"HSBC Bamerindus";"258,59";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10814;13;99;"Outros bens e direitos";"Hsbc vida e previdência";"67915,47";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10814;14;99;"Outros bens e direitos";"Imóvel  Urbano - apto. c/264,58m2 - Edif. Itauna, Chácara Marumbi - Curitiba-PR";"260410,55";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10814;15;99;"Outros bens e direitos";"Imóvel Rural Lote A, subdiv. Lotes 23g, 23l, 23m, 23m1, 23n, 23n1 e23p, subdiv Lote 23, Gl 03  Jaracatia - Perobal-P";"245000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10831;1;99;"Outros bens e direitos";"1.345.212 quotas de Vitacheque, Alim S/C Ltda.";"1345212,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10831;2;99;"Outros bens e direitos";"1/3 Lote com área de 4.358 HEC em Morretes";"1526,74";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10831;3;99;"Outros bens e direitos";"120 Bradesco PN Brasil";"545,52";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10831;4;99;"Outros bens e direitos";"19800 quotas de Total Fomento Mercantil Ltda.";"19800,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10831;5;99;"Outros bens e direitos";"519 PN Itaú Banco";"29115,90";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10831;6;99;"Outros bens e direitos";"990 Quotas de Fortaleza Assessoria Empresarial S/C Ltda.";"990,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10831;7;99;"Outros bens e direitos";"Banco Itaú S.A";"1646,34";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10831;8;99;"Outros bens e direitos";"Citibank - Fundos de Investimento Citicorporate";"518002,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10831;9;99;"Outros bens e direitos";"Citibank Fundos de Investimento em nome da filha Luiza R. Malucelli";"15065,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10831;10;99;"Outros bens e direitos";"Citibank Fundos de Investimentos em nome de Pietro R.Malucelli";"45455,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10831;11;99;"Outros bens e direitos";"Créditos c/ Vita Cheque Serviços de Alimentação S/C Ltda.";"1128940,25";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10831;12;99;"Outros bens e direitos";"Outros valores e bens";"215000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10831;13;99;"Outros bens e direitos";"Paranabanco";"280932,44";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10831;14;99;"Outros bens e direitos";"Petrobras 264 PN";"9852,48";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10831;15;99;"Outros bens e direitos";"Phanton 290 - Estaleiro Shafer Yachts Ltda.";"81143,53";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10831;16;99;"Outros bens e direitos";"Sid nacional ON";"11536,14";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10835;1;99;"Outros bens e direitos";"Nenhum bem a declarar";"0,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10143;1;99;"Outros bens e direitos";"04 LOTES EM IRATI";"12000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10143;2;99;"Outros bens e direitos";"CAMINHAO 1933 ANO 88";"40000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10143;3;99;"Outros bens e direitos";"CAMINHAO ANO 80";"30000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10143;4;99;"Outros bens e direitos";"CAMINHAO FORD 88";"30000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10143;5;99;"Outros bens e direitos";"CASA EM IRATI";"70000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10143;6;99;"Outros bens e direitos";"LOTE EM IRATI";"5000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10143;7;99;"Outros bens e direitos";"QUOTAS DA EMP. CONT. DERBLI";"270000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10143;8;99;"Outros bens e direitos";"TERRENO EM IRATI";"10000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10294;1;99;"Outros bens e direitos";"COTAS DE CAPITAL DA EMPRESA SISTEMA EDUCACIONAL PONTAGROSSENE LTDA CNPJ 04928799/0001-31";"900,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10294;2;99;"Outros bens e direitos";"DISPONIBILIDADES FINANCEIRAS";"5250,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10296;1;99;"Outros bens e direitos";"Nenhum bem a declarar";"0,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10302;1;99;"Outros bens e direitos";"TERRENO NO 11 DA QD 19 C/ AREA DE 250 M2 SITUADO NA PLANTA DO LOTEAMENTO DENOMINADA JARDIM CASTELO EM SARANDI/PR COM AREA CONSTRUIDA DE 52 M2";"6890,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";11102;1;99;"Outros bens e direitos";"AUTOMÓVEL SANTANA  (FINANCIADO)";"15000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";11102;2;99;"Outros bens e direitos";"CASA (FINANCIADA)";"55000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";11102;3;99;"Outros bens e direitos";"DIREITOS DE APARTAMENTO ALBA BRANCA";"25000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10411;100;99;"Outros bens e direitos";"Retro Case Modelo 580-H";"25000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10411;101;99;"Outros bens e direitos";"Roçadeira R02 Tatu";"4200,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10411;102;99;"Outros bens e direitos";"Roçadeira modelo R02 Tatu";"4200,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10411;103;99;"Outros bens e direitos";"Secador Axial CM-40";"62000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10411;104;99;"Outros bens e direitos";"Semeadeira Jumil 13 linhas";"6000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10411;105;99;"Outros bens e direitos";"Semeadeira e adubadeira Semeato TD-300 1984";"20000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10411;106;99;"Outros bens e direitos";"Silo Armazenador Modelo 1091/12-A";"140000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10411;107;99;"Outros bens e direitos";"Subsolador com 5 hastes";"3000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10411;108;99;"Outros bens e direitos";"Terraceador 20x26 e um triturador de palha Triton";"6000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10411;109;99;"Outros bens e direitos";"Trator Agrícola New Holland";"70000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10411;110;99;"Outros bens e direitos";"Trator Agrícola TS 120";"80000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10411;111;99;"Outros bens e direitos";"Trator Agícola TS 120 New Holland";"85000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10411;112;99;"Outros bens e direitos";"Trator CBT 2105";"10000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10411;113;99;"Outros bens e direitos";"Trator Esteira Massey Ferguson 3366";"5000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10411;114;99;"Outros bens e direitos";"Trator Ford 5610";"12000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10411;115;99;"Outros bens e direitos";"Trator Ford 6600 1979";"15000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10411;116;99;"Outros bens e direitos";"Trator Ford 6600 Série V-162129";"15000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10411;117;99;"Outros bens e direitos";"Trator Ford 6600 Série V-162130";"15000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10411;118;99;"Outros bens e direitos";"Trator Ford 7610G-111";"25000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10411;119;99;"Outros bens e direitos";"Trator MF 265 1979";"15000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10411;120;99;"Outros bens e direitos";"Trator New Holland";"47000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10411;121;99;"Outros bens e direitos";"Trator TS-120";"57500,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10411;122;99;"Outros bens e direitos";"Trator TS-120";"57500,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"PR";"PR";"PARANÁ";10411;123;99;"Outros bens e direitos";"Trator TS-120";"57500,00";"#NE";"#NE"
