"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10068;1;99;"Outros bens e direitos";"01 CARRO FIAT SIENA, ANO 2002, FINANCIADO";"20000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10068;2;99;"Outros bens e direitos";"01 CASA RESIDENCIAL SITUADA A RUA MANOEL NOGUEIRA, 550, CENTRO, APODI/RN";"100000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10068;3;99;"Outros bens e direitos";"SÓCIO DE UMA EMISSORA DE RÁDIO COMUNITÁRIA NA CIDADE DE APODI/RN, COM INVESTIMENTO DE EQUIPAMENTOS";"10000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10075;1;99;"Outros bens e direitos";"30 GARROTES PROVENIENTE DE CRIA";"7500,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10047;4;99;"Outros bens e direitos";"AUTOMOVEL MITSUBSHI/PAJERO SPORT, DE COR BRANCA, PLACAS MZJ-2909-RN";"15000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10047;5;99;"Outros bens e direitos";"AUTOMOVEL VOLKSWAGEN ANO 1966, COR AZUL, PLACAS MXR-1244-RN";"2500,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10047;6;99;"Outros bens e direitos";"CASA RESIDENCIAL SITUADA A RUA ATOL DA ROCAS, 1188, CONJ. SOLEDADE II - NATAL/RN";"20000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10047;7;99;"Outros bens e direitos";"POUPANÇA PARA AQUISIÇÃO APARTAMENTO ATRAVÉS DA CONSTRUTORA THERRA CONST. E EMPREENDIMENTOS LTDA EM NOME DA DEPENDENTE MANUELA CARDOSO BRASIL";"88818,11";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10071;1;99;"Outros bens e direitos";"01 CASA RESIDENCIAL SITUADA NA RUA GIPSE MONTENEGRO, 2021, CAPIM MACIO, NATAL/RN";"82868,68";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10071;2;99;"Outros bens e direitos";"01 CASA SITUADA NA RUA MARECHAL RONDON, 1960, CANDELÁRIA";"15000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10071;3;99;"Outros bens e direitos";"01 CAVALO E 09 POLTRAS ";"20500,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10071;4;99;"Outros bens e direitos";"01 GLEBA DE TERRA DENOMINADA GRANJA 01, DA QUADRA 7, INTEGRANTE DO JIQUI COUNTRY CLUB";"10000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10071;5;99;"Outros bens e direitos";"01 IMÓVEL COM 404,1 HA, SITUADO EM LAGOA NOVA, DISTRITO DE MARTINS/RN";"10000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10071;6;99;"Outros bens e direitos";"01 PROPRIEDADE RURAL, SITO NO MUNICIPIO DE MAXARANGUAPE/RN, MEDINDO 151,00 HA, CONTENDO 30 MIL COVAS DE MILHO E 30 DE MANDIOCAS";"70000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10071;7;99;"Outros bens e direitos";"01 TERRENO CONSTITUIDO DE OITO LOTES MEDINDO 450 M2 CADA LOTE, SITUADO NA COLINA DE GENIPABU, EXTREMOZ/RN";"4142,82";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10071;8;99;"Outros bens e direitos";"01 TERRENO SITO NA RUA PROJETADO MEDINDO 500 M2 NA PRAIA DE PONTA NEGRA, NATAL/RN";"2485,93";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10071;9;99;"Outros bens e direitos";"01 TERRENO SITUADA NA RUA PROJETADA MEDINDO 600 M2 NA PRAIA DE PONTA NEGRA, NATAL/RN";"3313,76";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10071;10;99;"Outros bens e direitos";"01 TERRENO SITUADO NA RUA PROJETADA MEDINDO 900 M2, CONSTITUIDO DE DOIS LOTES NA PRAIA DE JACUMÃ, CEARÁ MIRIM/RN";"4971,87";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10071;11;99;"Outros bens e direitos";"01 VEÍCULO MITSUBISH, MODELO PAJERO SPORT";"150000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10071;12;99;"Outros bens e direitos";"135 OVELHAS";"10000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10071;13;99;"Outros bens e direitos";"230 CABEÇAS DE GADO BOVINO";"55000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10071;14;99;"Outros bens e direitos";"CADERNETA DE POUPANÇA NO BANCO DO BRASIL S/A, AG. 1246-7";"2088,95";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10071;15;99;"Outros bens e direitos";"CAMINHÃO F 4000, ANO 2001, PLACA MYR 7040";"32650,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10071;16;99;"Outros bens e direitos";"PARTICIPAÇÃO SOCIETÁRIA DA FIRMA DEMOCRACIA EMPRESA JORNALISTICA E EDITORA LTDA";"9000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10071;17;99;"Outros bens e direitos";"SALDO EM CONTA CORRENTE NO BANCO DO BRASIL S/A, AG. 1588-1";"10233,63";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10071;18;99;"Outros bens e direitos";"SALDO EM CONTA CORRENTE NO BANESPA - SANTANDER";"1371,08";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10071;19;99;"Outros bens e direitos";"VALOR APLICADO EM TÍTULOS DE CAPITALIZAÇÃO NO BANCO SANTANDER";"3189,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10071;20;99;"Outros bens e direitos";"VALOR PAGO A PAULO OCTAVIO INVESTIMENTO IMOBILIÁRIOS LTDA, PARA AQUISIÇÃO DE UM FLAT, SITO NA SH/SUL, QUADRA 06, CONJ A, BLOCO D, UNIDADE 605 NO EMPREENDIMENTO MELIA GOLDEN FLAT, BRASILIA/DF";"116187,49";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10071;21;99;"Outros bens e direitos";"VALOR PAGO A T   F CONSTRUÇÕES E EMPREENDIMENTOS LTDA PARA AQUISIÇÃO DE UM IMÓVEL A RUA JOSÉ CASIMIRO DA ROCHA, S/N, PIRANGI";"103643,20";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10071;22;99;"Outros bens e direitos";"VALOR PAGO S CONSULTORIA LIDER LTDA, PARA AQUISIÇÃO DE UM APARTAMENTO NO MILLENIUM FLAT EM BRASÍLIA/DF";"63094,21";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10076;1;99;"Outros bens e direitos";"3.425 AÇÕES ORDINÁRIAS DA FIRMA J. MOTTA IND. E COM. S.A, DE NATAL/RN";"68430,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10076;2;99;"Outros bens e direitos";"5.780.335 AÇÕES PREFERENCIAIS CLASSE A, DA FIRMA J. MOTTA IND. E COM. S/A, DE NATAL/RN";"65808,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10076;3;99;"Outros bens e direitos";"APARTAMENTO RESIDENCIAL N. 4102, 10 ANDAR, CONJ ZOGBI, NA RUA JUATINDIBA -  BAIRRO DA MOCA - SÃO PAULO/SP";"200000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10076;4;99;"Outros bens e direitos";"APARTAMENTO RESIDENCIAL SITUADO NA PRAIA DE PIPA - TIBAU DO SUL/RN, EM CONSTRUÇÃO";"120000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10076;5;99;"Outros bens e direitos";"APARTAMENTO RESIDENCIAL SITUADO NO CONDIMINIO CLUB PARADISE GARDEN, NO BAIRRO DE CAPIM MACIO - NATAL/RN";"200000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10076;6;99;"Outros bens e direitos";"APARTAMENTO RESIDENCIAL SITUADO NO CONDOMINIO MAURICE RAVEL, NA RUA SENADOR JOSE FERREIRA DE SOUZA, 1872, BLOCO I, APT 801 - CANDELÁRIA";"700000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10076;7;99;"Outros bens e direitos";"GRANJA SANTA LUZIA, LOCALIZADA EM SÃO JOSÉ DE MIPIBU/RN, NO DISTRITO DE PIUM DE CIMA, COM ÁREA DE 57 HA.";"250000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10076;8;99;"Outros bens e direitos";"PARTE DE UMA CASA RESIDENCIAL SITUADA A AV. RIO BRANCO, 866, CENTRO - NATAL/RN";"30000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"RN";"RN";"RIO GRANDE DO NORTE";10076;9;99;"Outros bens e direitos";"VEÍCULO IMPORTADO MARCA TOYOTA PRADO, ANO 2003";"130000,00";"#NE";"#NE"
