"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"TO";"TO";"TOCANTINS";10399;1;99;"Outros bens e direitos";"AUTOMÓVEL CLIO";"23000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"TO";"TO";"TOCANTINS";10400;1;99;"Outros bens e direitos";"IMÓVEL URBANO";"30000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"TO";"TO";"TOCANTINS";10400;2;99;"Outros bens e direitos";"MOTO HONDA BIZ";"3000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"TO";"TO";"TOCANTINS";10231;1;99;"Outros bens e direitos";"VEICULO TIPO MOTOCICLETA TIPO BIZ PLACA MXA 2480 ANO/MOD 2000/2001";"3200,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"TO";"TO";"TOCANTINS";10232;1;99;"Outros bens e direitos";"Nenhum bem a declarar";"0,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"TO";"TO";"TOCANTINS";10248;1;99;"Outros bens e direitos";"VEICULO GM CORSA SEDAN 1.8, PLACA MVT 0772 2003";"32000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"TO";"TO";"TOCANTINS";10760;1;99;"Outros bens e direitos";"1388 açoes ordinarias e 1712 açoes preferenciais da tele norte participaçoes SA";"1000,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"TO";"TO";"TOCANTINS";10760;2;99;"Outros bens e direitos";"20% do capital social da Empresa Fabrica de Refrigerantes Amazonas Ltda s/ Movimento";"2499,20";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"TO";"TO";"TOCANTINS";10760;3;99;"Outros bens e direitos";"25% das cotas de capital da empresa Telecard Distrib de Cartoes Ltda devidamente registrada na Jucetins sob n. 17200271959 ";"2500,00";"#NE";"#NE"
"27/08/2021";"15:30:26";2006;0;"Ordinária";2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"TO";"TO";"TOCANTINS";10760;4;99;"Outros bens e direitos";"Area de 25.000 ha no loteamento Grotao adq no ano base de Joao Alves Machado";"15000,00";"#NE";"#NE"
