"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PB";"19518";"BOQUEIRÃO";6019;1;99;"Outros bens e direitos";"UM IMOVEL URBANO, LOCALIZADO NA RUA MANOEL APOLINARIO DE MACEDO BAIRRO NOVO, BOQUEIRÃO-PB";"30000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PB";"21954";"SÃO JOSÉ DO SABUGI";6021;1;99;"Outros bens e direitos";"UMA CASA RESIDENCIAL NA RUA BALDOMERO CHACOM N. 155 CENTRO NA CIDADE DE CURRAIS NOVOS - RN";"25000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PB";"21954";"SÃO JOSÉ DO SABUGI";6021;2;99;"Outros bens e direitos";"UM APARTAMENTO NA RUA PAULO ASSIS MENDONÇA N. 55 BESSA JOAO PESSOA - PB";"138000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PB";"21954";"SÃO JOSÉ DO SABUGI";6022;1;99;"Outros bens e direitos";"UM PREDIO COMERCIAL A RUA FLORISVALDO PEREIRA DE ARAÚJ, SN, CENTRO S]AO JOSE DO SABUGI - PB";"11500,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PB";"21954";"SÃO JOSÉ DO SABUGI";6022;2;99;"Outros bens e direitos";"UMA CASA RESIDENCIAL A RUA JOVENTINO JOSIAS, 12, CENTRO SÃO JOSE DO SABUGI - PB";"7500,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PB";"21954";"SÃO JOSÉ DO SABUGI";6022;3;99;"Outros bens e direitos";"CAPITAL DA EMPRESSA ANTONIO MIGUEL DE MEDEIROS";"10000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PB";"21954";"SÃO JOSÉ DO SABUGI";6023;1;99;"Outros bens e direitos";"01 CASA RESIDENCIAL SITUADA NA RUA DURVAL BATISTA DE MORAIS, S/N NO CENTRO DE SÃO JOSÉ DO SABUGI - PB";"20000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PB";"21954";"SÃO JOSÉ DO SABUGI";6023;2;99;"Outros bens e direitos";"01 MOTO YAMAHA YBR 125 K, PLACA MNN-0288 - PB ANO 2005";"5000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PB";"21954";"SÃO JOSÉ DO SABUGI";6024;1;99;"Outros bens e direitos";"01 VEICULO AUTO MOTOR MARCA/MODELO CHEVROLET C10 ANO 1982 PLCA KNY 4955 - RN";"8000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PB";"21954";"SÃO JOSÉ DO SABUGI";6025;1;99;"Outros bens e direitos";"01 CAMINHAO MARCA FORD F4000 ANO 1995, PLACA MMU-0800 - PB";"28000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PB";"21954";"SÃO JOSÉ DO SABUGI";6026;1;99;"Outros bens e direitos";"01 SÍTIO DENOMINADO UMBUZEIRO DA VACA MEDINDO 10 HECTARES";"3000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PB";"21954";"SÃO JOSÉ DO SABUGI";6029;1;99;"Outros bens e direitos";"01 FIAT UNO FLEX ANO 2006, PLACA MNH-9744 - PB FINANCIADO";"20000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PB";"21954";"SÃO JOSÉ DO SABUGI";6030;1;99;"Outros bens e direitos";"01 MOTO MARCA HONDA CG 125, ANO 2002";"3500,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PB";"21954";"SÃO JOSÉ DO SABUGI";6030;2;99;"Outros bens e direitos";"01 VEICULO GOL , ANO 1991";"6000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PB";"21954";"SÃO JOSÉ DO SABUGI";6030;3;99;"Outros bens e direitos";"CAPITAL SOCIAL DA EMPRESA MANOEL SIMPLÍCIO BATISTA";"25000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PB";"21954";"SÃO JOSÉ DO SABUGI";6030;4;99;"Outros bens e direitos";"10 CABEÇAS DE GADO BOVINO";"8000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PB";"21954";"SÃO JOSÉ DO SABUGI";6034;1;99;"Outros bens e direitos";"01 MOTO HONDA CG 150 ANO 2006, PLACA MNO-1567 - PB";"4500,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PB";"21954";"SÃO JOSÉ DO SABUGI";6034;2;99;"Outros bens e direitos";"01 AUTOMOVEL GOL MIL ANO 1998, PLACA MMZ-9886 - PB";"8300,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PB";"19992";"CRUZ DO ESPÍRITO SANTO";6033;1;99;"Outros bens e direitos";"UMA CASA LOCALIZA NA RUA PROF. MARIA DUTRA PAIVA, 03, CENTRO NESTE MUNICÍPIO";"25000,00";"#NE#";"#NE#"
