"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PE";"26190";"VENTUROSA";953;2;99;"Outros bens e direitos";"01 AUTOMOVEL MARCA FIAT, TIPO 147, ANO 1982, PLACA: KFS 6776";"3000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PE";"24830";"MARAIAL";954;1;99;"Outros bens e direitos";"O1 CASA";"20000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PE";"24830";"MARAIAL";954;2;99;"Outros bens e direitos";"1 CAMINHÃO MODELO F14000 ANO 1987";"20000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PE";"24830";"MARAIAL";955;1;99;"Outros bens e direitos";"1 CAMINHÃO";"35000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PE";"26190";"VENTUROSA";964;1;99;"Outros bens e direitos";"01 TERRENO A RUA MANOEL MORENO, 01 - CENTRO - VENTUROSA/PE., COM AREA DE 380,38 M², ADQUIRIDO EM 15/05/1998";"3000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PE";"26190";"VENTUROSA";964;2;99;"Outros bens e direitos";"01 PARTE DE TERRA NO SITIO RIO DOS BOIS - VENTUROSA/PE., COM AREA DE 10,0 HECTARES, ADQUIRIDA EM 05/03/1998.";"1500,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PE";"26190";"VENTUROSA";965;1;99;"Outros bens e direitos";"01 PARTE NA CASA A RUA JERONIMO TENORIO DE SIQUEIRA, 68 -VENTUROSA/PE, PERTENCENTE A MENOR PAULICEIA ALEXANDRE TENORIO, ADQUIRIDA POR HERANÇA DE MARIA LENICE ALEXANDRE TENORIO";"12500,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PE";"26190";"VENTUROSA";965;2;99;"Outros bens e direitos";"01 PARTE NA CASA A RUA ANTONIO BELIU, 167-VENTUROSA/PE, PERTENCENTE A MENOR PAULICEIA ALEXANDRE TENORIO, ADQUIRIDA POR DOAÇÃO DE PAULO TENORIO SOBRINHO";"750,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PE";"26190";"VENTUROSA";965;3;99;"Outros bens e direitos";"01 PARTE NA CASA A RUA ANTONIO BELIU, 171-VENTUROSA/PE, PERTENCENTE A MENOR PAULICEIA ALEXANDRE TENORIO, ADQUIRIDA POR DOAÇÃO DE PAULO TENORIO SOBRINHO";"750,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PE";"26190";"VENTUROSA";965;4;99;"Outros bens e direitos";"01 PARTES DE TERRAS ANEXAS, NOS SITIOS SERROTA, PERIPERI E MORRO - VENTUROSA/PE, C/AREA DE 81,3 HA. PERTENCENTE A MENOR PAULICEIA ALEXANDRE TENORIO, ADQUIRIDA POR HERANÇA E POR DOAÇÃO";"44730,05";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PE";"25739";"SÃO LOURENÇO DA MATA";5177;1;99;"Outros bens e direitos";"POSSUI UM CARRO TEMPLA, ANO 1995 DE PLACA KSD 7876";"7000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PE";"23019";"AFOGADOS DA INGAZEIRA";5180;1;99;"Outros bens e direitos";"UM VEICULO FIAT ANO 1996 MOLEDO MILLE";"9000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PE";"23019";"AFOGADOS DA INGAZEIRA";5181;1;99;"Outros bens e direitos";"UMA MOTO CG 125 ANO 2003/2004";"4000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PE";"23019";"AFOGADOS DA INGAZEIRA";5182;1;99;"Outros bens e direitos";"UM IMOVEL NA RUA HENRIQUE DIAS";"20000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PE";"23019";"AFOGADOS DA INGAZEIRA";5182;2;99;"Outros bens e direitos";"UM IMOVEL NA RUA SANTO ANTONIO";"18000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"PE";"23019";"AFOGADOS DA INGAZEIRA";5183;1;99;"Outros bens e direitos";"UM ARMAZEM LOCALIZADO NA RUA JOSE DE LEMOS, 632";"5000,00";"#NE#";"#NE#"
