"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"RO";"00655";"CORUMBIARA";1515;3;99;"Outros bens e direitos";"VEICULO FORD FIESTA 2001/2002";"17000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"RO";"00655";"CORUMBIARA";1516;1;99;"Outros bens e direitos";"CASA RESIDENCIAL URBANA";"30000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"RO";"00655";"CORUMBIARA";1517;1;99;"Outros bens e direitos";"PROPRIEDADE RURAL SITIO 16 ALQUEIRES";"80000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"RO";"00655";"CORUMBIARA";1517;2;99;"Outros bens e direitos";"70 CABEÇAS DE GADO BOVINO ADULTO LEITE";"50000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"RO";"00655";"CORUMBIARA";1517;3;99;"Outros bens e direitos";"MOTO HONDA XLR ANO 1998/1999 PLACA NBP9840";"3000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"RO";"00655";"CORUMBIARA";1518;1;99;"Outros bens e direitos";"MOTOCICLETA HONDA XLR 2000 PLACA MBV 3373";"3000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"RO";"00655";"CORUMBIARA";1518;2;99;"Outros bens e direitos";"GADO BOVINO ADULTO MISTO CORTE LEITE 200 CABEÇAS";"100000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"RO";"00655";"CORUMBIARA";1519;1;99;"Outros bens e direitos";"PROPRIEDADE RURAL 25 ALQUEIRES";"200000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"RO";"00655";"CORUMBIARA";1519;2;99;"Outros bens e direitos";"GADO BOVINO ADULTO LEITEIRO";"48000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"RO";"00655";"CORUMBIARA";1519;3;99;"Outros bens e direitos";"MOTOCICLETA HONDA FAN ANO 2008";"6000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"RO";"00655";"CORUMBIARA";1520;1;99;"Outros bens e direitos";"UMA PROPRIEDADE RURAL 10 ALQUEIRES";"100000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"RO";"00655";"CORUMBIARA";1520;2;99;"Outros bens e direitos";"14 CABEÇAS DE GADO BOVINO ADULTO";"10000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"RO";"00655";"CORUMBIARA";1520;3;99;"Outros bens e direitos";"MOTO HONDA CG 150CC 2008";"7000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"RO";"00655";"CORUMBIARA";1520;4;99;"Outros bens e direitos";"CAMIONETA D 10 ANO 77 DIESEL";"17000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"RO";"00655";"CORUMBIARA";1521;1;99;"Outros bens e direitos";"CASA RESIDENCIAL URBANA";"10000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"RO";"00655";"CORUMBIARA";1521;2;99;"Outros bens e direitos";"DOIS TERRENOS SEM CASA URBANO";"5000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"RO";"00655";"CORUMBIARA";1522;1;99;"Outros bens e direitos";"CASA RESIDENCIAL URBANA";"30000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"RO";"00655";"CORUMBIARA";1523;1;99;"Outros bens e direitos";"01 MOTO NXR HONDA BROS 125 ANO 2004 PLACA NCI 8527";"6000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"RO";"00655";"CORUMBIARA";1523;2;99;"Outros bens e direitos";"01 VEICULO GOL ANO 2003/2003 PLACA NDI 8181";"20000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"RO";"00655";"CORUMBIARA";1523;3;99;"Outros bens e direitos";"DOIS TERRENOS URBANOS  COM UMA CASA MADEIRA NO LOTE 09/10 DA QUADRA 11 SETOR 01";"50000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"RO";"00655";"CORUMBIARA";1523;4;99;"Outros bens e direitos";"01 PONTO DE TAXI  NO DISTRITO DE GUARAJUS";"10000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"RO";"00655";"CORUMBIARA";1523;5;99;"Outros bens e direitos";"VALOR EM ESPECIE";"60000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"RO";"00655";"CORUMBIARA";1524;1;99;"Outros bens e direitos";"UM LOTE URBANO NO DISTRITO RONDOLANDIA CENTRO SN";"1000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"RO";"00655";"CORUMBIARA";1524;2;99;"Outros bens e direitos";"4 CABEÇA DE GADO BOVINO ADULTA LEITERA";"6000,00";"#NE#";"#NE#"
