"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31275";"CARIRA";4597;5;99;"Outros bens e direitos";"CONSORCIO CONTEMPLADO MOTO HONDA";"5351,85";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31275";"CARIRA";4597;6;99;"Outros bens e direitos";"APARTAMENTO NO EDIFICIO BETA NA AV ADELIA FRANCO EM ARACAJU";"89043,40";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31275";"CARIRA";4598;1;99;"Outros bens e direitos";"ECOSPORT PLACA IAL 6780 PRETO ANO 2008";"51000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31275";"CARIRA";4599;1;99;"Outros bens e direitos";"CASA NA RUA ANTONIO JOSE BASTOS 152";"50000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31275";"CARIRA";4599;2;99;"Outros bens e direitos";"CARRO PALIO ANO 1998 AZUL";"11000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31275";"CARIRA";4600;1;99;"Outros bens e direitos";"LOTE 6X26 NO LOTEAMENTO LAGOA VERDE EM CARIRA";"4000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31275";"CARIRA";4601;1;99;"Outros bens e direitos";"CASA NA PRAÇA JOSE DURVAL MATOS, 176";"100000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31275";"CARIRA";4604;1;99;"Outros bens e direitos";"CASA NA RUA 13 DE MAIO 73";"70000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31275";"CARIRA";4604;2;99;"Outros bens e direitos";"GARAGEM NA RUA 13 DE MAIO S/N";"55000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31275";"CARIRA";4604;3;99;"Outros bens e direitos";"CASA NA RUA 13 DE MAIO 45";"100000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31275";"CARIRA";4604;4;99;"Outros bens e direitos";"UMA GARAGEM NA MARGEM DA BR 235";"50000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31275";"CARIRA";4604;5;99;"Outros bens e direitos";"GARAGEM NA MARGEM DA BR 235 PROXIMO AO POSTO FISCAL";"30000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31275";"CARIRA";4604;6;99;"Outros bens e direitos";"PONTO COMERCIAL PROXIMO AO POSTO FISCAL";"50000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31275";"CARIRA";4604;7;99;"Outros bens e direitos";"TERRENO PROXIMO AO POSTO CARREIRO MEDINDO 13 TAREFAS";"39000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31275";"CARIRA";4604;8;99;"Outros bens e direitos";"TOPIC ANO 1998 VERDE";"45000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31275";"CARIRA";4604;9;99;"Outros bens e direitos";"UMA CASA NO POVOADO ALTOS VERDES";"50000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31275";"CARIRA";4604;10;99;"Outros bens e direitos";"UMA GARAGEM NO POVOADO ALTOS VERDES";"30000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31275";"CARIRA";4605;1;99;"Outros bens e direitos";"TERRENO MEDINDO 170 TAREFAS NO POVOADO LAGOA DA MOITA";"170000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31054";"ARACAJU";4882;4;99;"Outros bens e direitos";"UM LOTE DE TERRENO LOCALIZADO NA PRAIA DO ABAIS, ESTANCIA - SE";"1387,52";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31054";"ARACAJU";4882;5;99;"Outros bens e direitos";"UM LOTE DE TERRENO LOCALIZADO NA ATALAIA, ARACAJU - SE";"6939,72";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31054";"ARACAJU";4882;6;99;"Outros bens e direitos";"UM LOTE DE TERRENO LOCALIZADO NO ROBALO, ARACAJU - SE";"97968,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31054";"ARACAJU";4882;7;99;"Outros bens e direitos";"UM VEICULO FIAT UNO MILLE SX ANO 96";"5500,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31011";"AMPARO DE SÃO FRANCISCO";4883;1;99;"Outros bens e direitos";"CASA";"30000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31011";"AMPARO DE SÃO FRANCISCO";4883;2;99;"Outros bens e direitos";"VEICULO";"29000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31011";"AMPARO DE SÃO FRANCISCO";4884;1;99;"Outros bens e direitos";"VEICULO CLIO HATCH 2004";"15000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31011";"AMPARO DE SÃO FRANCISCO";4885;1;99;"Outros bens e direitos";"TERRENO";"2500,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31011";"AMPARO DE SÃO FRANCISCO";4888;1;99;"Outros bens e direitos";"CASA";"30000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31011";"AMPARO DE SÃO FRANCISCO";4889;1;99;"Outros bens e direitos";"FORD FIESTA";"7000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31011";"AMPARO DE SÃO FRANCISCO";4894;1;99;"Outros bens e direitos";"VEICULO";"49000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31011";"AMPARO DE SÃO FRANCISCO";4894;2;99;"Outros bens e direitos";"VEICULO";"25000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31011";"AMPARO DE SÃO FRANCISCO";4895;1;99;"Outros bens e direitos";"01 CASA LOCALIZADA PRAÇA DA INDEPENDENCIA N14 AMPARO DO SÃO FRANCISCI";"20000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31011";"AMPARO DE SÃO FRANCISCO";4895;2;99;"Outros bens e direitos";"UM VEICULO FIAT UNO 1998 ADQUIRIDO";"9000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"32050";"PIRAMBU";4896;1;99;"Outros bens e direitos";"CASA RESIDENCIAL EM ARACAJU";"63000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"32050";"PIRAMBU";4896;2;99;"Outros bens e direitos";"VEÍCULO AGRALE MA 7.5 - ANO 2004";"93000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"32050";"PIRAMBU";4896;3;99;"Outros bens e direitos";"VÉICULO FIAT STRADA ANO 2007";"30500,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"32050";"PIRAMBU";4903;1;99;"Outros bens e direitos";"1 BARCO DE PESCA 8,90X2M";"30000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"32050";"PIRAMBU";4904;1;99;"Outros bens e direitos";"PONTO DE TAXI NA PRFEITURA MUNICIPAL DE PIRAMBU SOB N. 081";"3100,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"32050";"PIRAMBU";4904;2;99;"Outros bens e direitos";"VEÍCULO MARCA GM MONZA BARCELONA ANO 1992";"7000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"32050";"PIRAMBU";4904;3;99;"Outros bens e direitos";"100 TAREFAS DE TERRAS SITUADA NO POVOADO AGUILHADAS NA CIDADE DE PIRAMBU/SE.";"20000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"32050";"PIRAMBU";4904;4;99;"Outros bens e direitos";"VEÍCULO KIA BESTA GIA ANO 2001";"30000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"32050";"PIRAMBU";4906;1;99;"Outros bens e direitos";"VEÍCULO GM CELTA ANO 2002";"15000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"32050";"PIRAMBU";4907;1;99;"Outros bens e direitos";"APARTAMENTO FINANCIADO JUNTO A CEF";"13816,46";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"32050";"PIRAMBU";4907;2;99;"Outros bens e direitos";"VEÍCULO - RENAULT/MEGANE-2007";"27646,08";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"32050";"PIRAMBU";4908;1;99;"Outros bens e direitos";"RESIDÊNCIA NO BAIRRO COROA DO MEIO NO MUNICÍPIO DE ARACAJU/SE";"100000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"32050";"PIRAMBU";4908;2;99;"Outros bens e direitos";"CHÁCARA NO POVOADO AGUILHADAS NO MUNICÍPIO DE PIRAMBU/SE.";"50000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"32050";"PIRAMBU";4908;3;99;"Outros bens e direitos";"SALA COMERCIAL NO EDIFICO PAULO FIGUEIREDO NA RUA PACATUBA, N. 254 SALA 1108 - ARACAJU/SE.";"15000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"32050";"PIRAMBU";4908;4;99;"Outros bens e direitos";"VEÍCULO FIAT SIENA ANO 2006";"20000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"32115";"PORTO DA FOLHA";5028;1;99;"Outros bens e direitos";"TERRENO 5T";"5000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31437";"FEIRA NOVA";2754;1;99;"Outros bens e direitos";"01 CASA RESIDENCIAL EM FEIRA NOVA";"40000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31437";"FEIRA NOVA";2756;1;99;"Outros bens e direitos";"CASA EM NOSSA SENHORA DA GLORIA";"80000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31437";"FEIRA NOVA";2757;1;99;"Outros bens e direitos";"FAZ LAGOA DO CAPIM-80 TAREFAS";"80000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31437";"FEIRA NOVA";2757;2;99;"Outros bens e direitos";"FAZENDA EM FEIRA NOVA - 40 TAREFAS";"40000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31437";"FEIRA NOVA";2757;3;99;"Outros bens e direitos";"FAZ SAO JOSE - FEIRA NOVA- 50TAREFAS";"50000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31437";"FEIRA NOVA";2757;4;99;"Outros bens e direitos";"CARRO CHEVETE 1978";"4000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31739";"MACAMBIRA";1516;1;99;"Outros bens e direitos";"UM VEICULO CAMINHONETA MARCA CHEVROLET, MODELO S-10, ANO 2005. FINANCIADA PELO BANCO REAL ABN.";"90000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31739";"MACAMBIRA";1516;2;99;"Outros bens e direitos";"UM CASA SITUADA NA AV. JOÃO BOSCO DE ANDRADE, 463 ATALAIA -ARACAJU-SE";"250000,00";"#NE#";"#NE#"
"19/08/2021";"18:49:01";2008;2;"Eleição Ordinária";30;"ELEIÇÕES 2008";"05/10/2008";"SE";"31739";"MACAMBIRA";1517;1;99;"Outros bens e direitos";"CONSÓRCIO HONDA NACIONAL";"6500,00";"#NE#";"#NE#"
