"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000056;3;32;"Quotas ou quinhões de capital";"99 POR CENTO DAS COTAS DE CAPITAL DA EMPRESA OLIVEIRA COBRANÇAS LTDA";"4950,00";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000056;4;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO HONDA VT 600CC 600, MODELO SHAVO ANO/MOD 2000/2001";"20000,00";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000056;5;73;"Fundo de capitalização";"TITULO DE CAPITALIZAÇÃO UNIBANDO";"544,29";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000056;6;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMÓVEL ASTRA GSI no 2005, placas mcs-7645";"55000,00";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000056;7;13;"Terreno";"50 POR CENTO DE UM TERRENO, NA RUA DR. PEDO ZIMMERMANN, BLUMENAU/SC";"100000,00";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000056;8;13;"Terreno";"UM TERRENO COM 34315,17M2, NA RUA 1. DE MAIO, BLUMENAU/SC";"370000,00";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000056;9;11;"Apartamento";"UM APARTAMENTO 204 EDIFICIO RESIDENCIAL GRAVATA, NAVEGANTES/SC";"55000,00";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000056;10;31;"Ações (inclusive as provenientes de linha telefônica)";"AÇÕES GERDAU";"23280,00";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000056;11;31;"Ações (inclusive as provenientes de linha telefônica)";"AÇÕES VALE";"21055,00";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000056;12;31;"Ações (inclusive as provenientes de linha telefônica)";"50 POR CENTO DA AÇÃO RES. CONTRATUAL COM IDENIZAÇÃO POR PERDAS E DANOS. PROC. 008.96014480-6";"305095,61";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000056;13;31;"Ações (inclusive as provenientes de linha telefônica)";"AÇÕES PETR4";"21912,00";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000056;14;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMÓVEL CAMINHONETA TOYOTA HILLUS CD 4X4";"127250,00";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000056;15;61;"Depósito bancário em conta corrente no País";"CADERNETA DE POUPANÇA OURO DO BANCO DO BRASIL S/A";"13983,89";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000056;16;31;"Ações (inclusive as provenientes de linha telefônica)";"AÇÕES EMBR3";"7600,00";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000056;17;31;"Ações (inclusive as provenientes de linha telefônica)";"AÇÕES MMXM3";"6793,20";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000056;18;31;"Ações (inclusive as provenientes de linha telefônica)";"AÇÕES CYRE3";"12055,00";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000056;19;61;"Depósito bancário em conta corrente no País";"SALDO ITAU VIDA E PREVIDENCIA S/A";"84193,90";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000056;20;31;"Ações (inclusive as provenientes de linha telefônica)";"SALTO ITAU PERSONALITE SELEÇÃO DE AÇÕES FICFI";"10000,00";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000056;21;31;"Ações (inclusive as provenientes de linha telefônica)";"ITAU PERSONALITE SELEÇÃO DE AÇÕES";"132494,29";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000056;22;31;"Ações (inclusive as provenientes de linha telefônica)";"ITAU PERSONALITE MOMENTO AÇÕES FICFI";"100000,00";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000056;23;31;"Ações (inclusive as provenientes de linha telefônica)";"ITAU PERSONALITE RENDA DIVIDENDOS AÇÕES FIN";"155000,00";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000056;24;32;"Quotas ou quinhões de capital";"QUOTAS SOCIAIS DA EMPRESA TORRE CONTRUTORA E INCORPORADORA LTDA";"100020,00";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000058;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"FIAT UNO, ANO E MODELO 1994, PLACAS BOW-9752";"8000,00";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000059;1;26;"Linha telefônica";"TELEFONE COMERCIAL N. 48 3266-1891";"2600,00";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000059;2;32;"Quotas ou quinhões de capital";"COTA PARTE EMPRESA MIRAGE EMPREENDIMENTOS IMOBILIÁRIOS LTDA";"2624,79";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000059;3;63;"Dinheiro em espécie - moeda nacional";"DINHEIRO EM ESPÉCIE";"193000,00";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000059;4;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VEÍCULO GM PRISMA JOY, ANO 2006 E MODELO 2007 (VENDIDO)";"36290,00";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000060;1;11;"Apartamento";"UM APARTAMENTO, COM 70,00M2, LOCALIZADO NA RUA DOS CAÇADORES 3149, VELHA, BLUMENAU/SC";"140000,00";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000060;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"UM AUTOMÓVEL XSARA PICASSO, ANO E MODELO 2003, PLACAS MHH-1970";"30000,00";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000062;1;32;"Quotas ou quinhões de capital";"97 POR CENTO CAPITAL SOCIAL EMPRESA PAMPA PRODUÇÕES E PUBLICIDADES LTDA";"2910,00";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000062;2;32;"Quotas ou quinhões de capital";"100 POR CENTO CAPITAL SOCIAL EMPRESA CLEUSA GUGEL MOR";"15000,00";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000062;3;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMÓVEL FIAT SIENA FIRE FLEX, ANO 2006, MODELO 2007, PLACAS MDC-9454";"27500,00";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000062;4;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMOVEL FIAT PALIO FIRE FLEX, ANO E MODELO 2007";"19148,20";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000062;5;32;"Quotas ou quinhões de capital";"30 POR CENTO CAPITAL SOCIAL EMPRESA BANDA PORTAL DO SUL LTDA";"30000,00";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000062;6;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CAMINHONETA S-10, ANO E MODELO 2000";"38000,00";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000062;7;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CAMINHONETA FORD RANGER";"26000,00";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000062;8;13;"Terreno";"TRES TERRENOS URBANOS, TOTALIZANDO 1250,00M2, LOCALIZADOS EM XAXIM/SC";"100000,00";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000063;1;32;"Quotas ou quinhões de capital";"PARTICIPAÇÃO NA FIRMA GHN METALURGICA COM. E SERV. LTDA EPP";"10000,00";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000063;2;32;"Quotas ou quinhões de capital";"PARTICIPAÇÃO NA FIRMA TRANSPORTES RODOVIÁRIOS GROSSL LTDA";"1,00";"05/07/2010";"18:48:29"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000063;3;12;"Casa";"IMÓVEL COM 240,00M2, LOCALIZADO EM ITAJUBA, MUNICÍPIO DE BARRA VELHA/SC";"200000,00";"08/08/2010";"16:11:07"
"19/04/2021";"13:16:05";2010;2;"Eleição Ordinária";37;"Eleições 2010";"03/10/2010";"SC";"SC";"SANTA CATARINA";240000000063;4;12;"Casa";"IMÓVEL COM 731,00M2, LOCALIZADO NA RUA ALBANO FACHINI, 142, MUNICÍPIO DE JARAGUÁ DO SUL/SC";"250000,00";"08/08/2010";"16:11:07"
