"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"ST_TURNO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"15/12/2018";422517591;"AP";"Outro";"850013";2;"Fundo Especial de Financiamento de Campanha";20040000;"Locação/cessão de bens imóveis";1;"Financeiro";0;"Cheque";24744793;16943304;"10/09/2018";"IMÓVEL EM ALVENARIA· GALPÃO COMERCIAL· 28 DIAS";"2000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"05/12/2018";427245065;"AP";"Outro";"850044";2;"Fundo Especial de Financiamento de Campanha";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";0;"Cheque";24584558;16781160;"13/09/2018";"PRESTAÇÃO DE SERVIÇOS DE MILITÂNCIA E MOBILIZAÇÃO";"360,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"05/12/2018";427245065;"AP";"Outro";"850009";1;"Outros Recursos";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";0;"Cheque";24584555;16781155;"13/09/2018";"PRESTAÇÃO DE SERVIÇOS DE MILITÂNCIA E MOBILIZAÇÃO";"400,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"17/11/2018";423131855;"AP";"Outro";"900008";2;"Fundo Especial de Financiamento de Campanha";20600000;"Cessão ou locação de veículos";1;"Financeiro";0;"Cheque";23902082;16043019;"03/09/2018";"LOCAÇÃO DE VEICULO/MILLE";"2000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"29/11/2018";422800815;"AP";"Outro";"850004";0;"Fundo Partidário";20600000;"Cessão ou locação de veículos";1;"Financeiro";0;"Cheque";24456638;16638837;"28/09/2018";"CONTRATO DE ALUGUEL DE VEÍCULOS POR DIÁRIAS + NFS";"48300,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"17/11/2018";423131855;"AP";"Outro";"900028";2;"Fundo Especial de Financiamento de Campanha";20600000;"Cessão ou locação de veículos";1;"Financeiro";0;"Cheque";23902083;16043037;"10/09/2018";"LOCAÇÃO DE VEICULO/ONIBUS/M. BENS";"6000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"26/04/2019";423138752;"AP";"Outro";"850004";2;"Fundo Especial de Financiamento de Campanha";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";25059495;17264789;"12/09/2018";"SERVIÇO DE COORDENADORA PARA CAMPANHA ELEITORAL";"3000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"23/11/2018";422517522;"AP";"Outro";"850002";2;"Fundo Especial de Financiamento de Campanha";20040000;"Locação/cessão de bens imóveis";1;"Financeiro";0;"Cheque";24243884;16407218;"27/08/2018";"LOCAÇÃO DE 01 IMÓVEL RESIDENCIAL CONFORME CONTRATO";"5000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"23/11/2018";422517522;"AP";"Outro";"850037";2;"Fundo Especial de Financiamento de Campanha";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24243876;16407298;"14/09/2018";"SERVIÇOS DE COORDENADOR DE CAMPANHA NFS-E 382982";"5000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"23/11/2018";422517522;"AP";"Outro";"850031";2;"Fundo Especial de Financiamento de Campanha";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24243889;16407272;"11/09/2018";"SERVIÇOS DE COORDENADOR DE CAMPANHA NFS-E 382703";"5000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"30/04/2019";417250543;"AP";"Outro";"900006";0;"Fundo Partidário";20600000;"Cessão ou locação de veículos";1;"Financeiro";0;"Cheque";25062300;17267146;"24/09/2018";"LOCAÇÃO DE VEÍCULO";"3800,00"
