"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"ST_TURNO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"03/12/2020";1843214800;"AC";"#NULO";"74426225";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";34527182;22437520;"10/11/2020";"#NULO";"1000,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"08/06/2022";1845031267;"AC";"Fatura";"102601";2;"Fundo Especial de Financiamento de Campanha";20420000;"Despesa com Impulsionamento de Conteúdos";1;"Financeiro";6;"Boleto de cobrança";41480503;28098378;"26/10/2020";"PROPAGANDA";"1000,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"15/12/2020";1844659025;"AC";"#NULO";"850056";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";0;"Cheque";39437787;26386698;"25/11/2020";"#NULO";"14,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"04/02/2021";1844059492;"AC";"Nota Fiscal";"900002";2;"Fundo Especial de Financiamento de Campanha";20140000;"Publicidade por materiais impressos";1;"Financeiro";0;"Cheque";40176021;27008660;"04/11/2020";"NF 194 - MAT IMPRESSOS - ADESIVO BOLA- OSMAR | NF 194 - MAT IMPRESSOS SANTINHOS | NF 194 - MAT IMPRESSOS SANTINHOS - OSMAR | NF 194 - MAT PRAGUINHAS - OSMAR";"20000,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"18/02/2021";1845018277;"AC";"Nota Fiscal";"900031";2;"Fundo Especial de Financiamento de Campanha";20360002;"Serviços contábeis";1;"Financeiro";0;"Cheque";40312021;27118877;"27/10/2020";"PRESTAÇÃO DE SERVIÇOS CONTABEIS ELEITORAL 2020";"500,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"08/12/2020";1849858559;"AC";"Nota Fiscal";"850001";2;"Fundo Especial de Financiamento de Campanha";20100000;"Combustíveis e lubrificantes";1;"Financeiro";0;"Cheque";35265623;22996096;"04/11/2020";"COMBUSTIVEL GASOLINA";"1000,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"15/01/2021";1847605508;"AC";"Fatura";"900203";1;"Outros Recursos";20300000;"Telefone";1;"Financeiro";0;"Cheque";39807143;26698428;"18/11/2020";"CONTA DE TELEFONE MÊS 09/2020";"63,51"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"03/12/2020";1843214800;"AC";"Nota Fiscal";"900010";2;"Fundo Especial de Financiamento de Campanha";20360000;"Serviços próprios prestados por terceiros";1;"Financeiro";0;"Cheque";34527207;22437555;"10/11/2020";"BARQUEIRO";"1000,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"11/12/2020";1843156393;"AC";"Nota Fiscal";"850007";0;"Fundo Partidário";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";0;"Cheque";36381379;23909278;"13/11/2020";"SERVIÇOS DE MILITANCIA";"400,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"11/12/2020";1843156393;"AC";"Nota Fiscal";"850009";0;"Fundo Partidário";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";0;"Cheque";36381390;23909280;"13/11/2020";"SERVIÇOS DE MILITANCIA";"400,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"09/12/2020";1844872895;"AC";"Nota Fiscal";"1550071";1;"Outros Recursos";20140000;"Publicidade por materiais impressos";1;"Financeiro";1;"Transferência eletrônica";35640307;23296763;"06/11/2020";"SANTINHO PARA  DIVULGAÇÃO DE CAMPANHA";"488,50"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"11/12/2020";1843156393;"AC";"Nota Fiscal";"850011";0;"Fundo Partidário";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";0;"Cheque";36381382;23909282;"13/11/2020";"SERVIÇOS DE MILITANCIA";"400,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"07/12/2020";1850590775;"AC";"Nota Fiscal";"850001";1;"Outros Recursos";20100000;"Combustíveis e lubrificantes";1;"Financeiro";0;"Cheque";35059076;22831088;"13/11/2020";"GASOLINA COMUM";"1090,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Regularização da Omissão";"22/11/2023";1841594560;"AC";"Nota Fiscal";"900025";2;"Fundo Especial de Financiamento de Campanha";20110000;"Publicidade por adesivos";1;"Financeiro";0;"Cheque";52205780;38632090;"30/10/2020";"ADESIVO 30X10CM | ADESIVO 40X12CM";"505,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"11/12/2020";1843156393;"AC";"Nota Fiscal";"850002";0;"Fundo Partidário";20150000;"Alimentação";1;"Financeiro";0;"Cheque";36381388;23909273;"10/11/2020";"ARROZ  | BOLACHA | CONSERVA | FRANGO | SARDINHA";"700,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"03/12/2020";1843214800;"AC";"#NULO";"47140505";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";34527218;22437506;"05/11/2020";"#NULO";"1000,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"15/12/2020";1843667998;"AC";"Nota Fiscal";"850003";2;"Fundo Especial de Financiamento de Campanha";20100000;"Combustíveis e lubrificantes";1;"Financeiro";0;"Cheque";38246240;25450943;"30/10/2020";"AQUISIÇÃO DE COMBUSTÍVEL(GASOLINA COMUM)";"1300,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"08/06/2022";1845031267;"AC";"Fatura";"365820466868590";2;"Fundo Especial de Financiamento de Campanha";20420000;"Despesa com Impulsionamento de Conteúdos";1;"Financeiro";6;"Boleto de cobrança";41481587;28098381;"27/10/2020";"PUBLICIDADE";"1000,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"11/06/2021";1844007945;"AC";"Nota Fiscal";"850008";2;"Fundo Especial de Financiamento de Campanha";20120000;"Serviços prestados por terceiros";1;"Financeiro";0;"Cheque";40748281;27499838;"13/11/2020";"SERVIÇOS DE ASSISTENCIA NA CAMPANHA ELEITORAL";"800,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"11/12/2020";1843156393;"AC";"Nota Fiscal";"850008";0;"Fundo Partidário";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";0;"Cheque";36381381;23909279;"13/11/2020";"SERVIÇOS DE MILITANCIA";"400,00"
