"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_BEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULT_ATUAL_BEM_CANDIDATO";"HH_ULT_ATUAL_BEM_CANDIDATO"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01473";"TARAUACÁ";10002370907;1;13;"Terreno";"LOTE DE TERRAS URBANO LOCALIZADO AVENIDA AVELINO LEAL EM TARAUACA";"20000,00";"06/10/2024";"18:34:24"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01473";"TARAUACÁ";10002370907;2;19;"Outros bens imóveis";"MOVEL RURAL DENOMINADO FAZENDA BRASILIA - ADQUIRIDO DE GUILHERME VANDERLEY GALVAO E ADELIA MENDONCA NASCIMENTO GALVAO - COMPOSTO PELA JUNCAO DE DUAS AREAS CONTIGUAS FAZENDA BRASILIA PARTE 1 MED 98,5 H";"200000,00";"06/10/2024";"18:34:24"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01473";"TARAUACÁ";10002370907;3;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"HYUNDAI/HB20S 1.0. CONF PLACA QLX5272 COR CINZA";"35000,00";"06/10/2024";"18:34:24"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01473";"TARAUACÁ";10002370907;4;32;"Quotas ou quinhões de capital";"TITULARIDADE DO CAPITAL SOCIAL DA EMPRESA FRIGORDO INDUSTRIA COM IMP E EXP LTDA - VALOR REFERENTE AO CAPITAL INTEGRALIZADO JUNTO A EMPRES";"6300000,00";"06/10/2024";"18:34:24"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01473";"TARAUACÁ";10002370908;1;12;"Casa";"CASA DE ALVENARIA ";"200000,00";"06/10/2024";"18:34:24"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01473";"TARAUACÁ";10002370913;1;12;"Casa";"casa";"575000,00";"16/09/2024";"21:06:18"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01473";"TARAUACÁ";10002370913;2;29;"Outros bens móveis";"carro";"110000,00";"16/09/2024";"21:06:18"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01104";"JORDÃO";10002238449;1;12;"Casa";"UMA CASA MADEIRA DE LEI 5,75X11M";"90000,00";"06/10/2024";"18:09:47"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01074";"CRUZEIRO DO SUL";10002340268;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO HONDA CG 150 SPORT ANO 2005, PLACA MZO 4491";"7444,00";"06/10/2024";"19:15:33"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01074";"CRUZEIRO DO SUL";10002340269;1;12;"Casa";"CASA ZONA URBANA";"150000,00";"06/10/2024";"19:15:33"
