"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_BEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULT_ATUAL_BEM_CANDIDATO";"HH_ULT_ATUAL_BEM_CANDIDATO"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"28134";"OLHO D'ÁGUA DAS FLORES";20002045460;2;59;"Outros créditos e poupança vinculados";"Conta Corrente Banco do Brasil";"10992,36";"06/10/2024";"20:33:21"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"28134";"OLHO D'ÁGUA DAS FLORES";20002045460;3;63;"Dinheiro em espécie - moeda nacional";"Dinheiro em Espécie em Moeda Nacional";"150000,00";"06/10/2024";"20:33:21"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"28835";"TRAIPU";20002005722;1;12;"Casa";"RESIDÊNCIAL LOCALIZADA NA CIDADE DE TRAIPU-AL";"150000,00";"06/10/2024";"22:00:49"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"28835";"TRAIPU";20002005723;1;95;"Consórcio não contemplado";"CONSÓRCIO";"60000,00";"06/10/2024";"22:00:49"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"28835";"TRAIPU";20002005724;1;15;"Sala ou conjunto";"LOCALIZADO NA RUA JOSÉ BENTO, N. 68, NO MUNICIPIO DE TRAIPU-AL";"48000,00";"06/10/2024";"22:00:49"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"28835";"TRAIPU";20002005724;2;12;"Casa";"LOCALIZADA NO MUNICIPIO DE GIRAU DO POCIANO-AL";"50000,00";"06/10/2024";"22:00:49"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"28835";"TRAIPU";20002005724;3;12;"Casa";"LOCALIZADA NO MUNICIPIO DE GIRAU DO POCIANO";"80000,00";"06/10/2024";"22:00:49"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"28835";"TRAIPU";20002005724;4;19;"Outros bens imóveis";"ARMAZEM SITUADO NO CENTRO DO MUNICIPIO DE TRAIPU-AL";"90000,00";"06/10/2024";"22:00:49"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"28835";"TRAIPU";20002005724;5;13;"Terreno";"LOCALIZADA NO MUNICIPIO DE GIRAU DO POCIANO";"32000,00";"06/10/2024";"22:00:49"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"28835";"TRAIPU";20002005724;6;13;"Terreno";"LOCALIZADA NO MUNICIPIO DE GIRAU DO POCIANO-AL";"47000,00";"06/10/2024";"22:00:49"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"28835";"TRAIPU";20002005724;7;13;"Terreno";"LOCALIZADA NO MUNICIPIO DE GIRAU DO POCIANO-AL";"54000,00";"06/10/2024";"22:00:49"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"28835";"TRAIPU";20002005724;8;19;"Outros bens imóveis";"TERRENO LOCALIZADO NO MUNICIPIO DE TRAIPU-AL";"23200,00";"06/10/2024";"22:00:49"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"28835";"TRAIPU";20002005724;9;19;"Outros bens imóveis";"TERRENO LOCALIZADO NO MUNICIPIO DE TRAIPU-AL";"100000,00";"06/10/2024";"22:00:49"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"28835";"TRAIPU";20002005724;10;13;"Terreno";"LOCALIZADO NA ZONA RURAL DO MUNICIPIO DE TRAIPU-AL";"82000,00";"06/10/2024";"22:00:49"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"28835";"TRAIPU";20002005724;11;13;"Terreno";"LOCALIZADO NA ZONA RURAL DO MUNICIPIO DE TRAIPU-AL";"90000,00";"06/10/2024";"22:00:49"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"28835";"TRAIPU";20002005724;12;19;"Outros bens imóveis";"SALÃO NO AUTO DO CRUZEIRO, MUNICIPIO DE GIRAU DO POCIANO-AL";"63000,00";"06/10/2024";"22:00:49"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"28835";"TRAIPU";20002005724;13;19;"Outros bens imóveis";"SALÃO NO  MUNICIPIO DE GIRAU DO POCIANO-AL";"77000,00";"06/10/2024";"22:00:49"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"28835";"TRAIPU";20002005724;14;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CARRO MODELO STRADA ";"46176,00";"06/10/2024";"22:00:49"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"28835";"TRAIPU";20002005724;15;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"RETROESCAVADEIRA ";"77000,00";"06/10/2024";"22:00:49"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"28835";"TRAIPU";20002005724;16;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MODELO HILUX, COR PRETA ";"50000,00";"06/10/2024";"22:00:49"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"28835";"TRAIPU";20002005724;17;74;"Fundos: Ações, Mútuos de Privatização, Invest. Empresas Emergentes, Invest.Participação e Invest. Índice Mercado";"EMPRESA CALCULAR CONSTRUCOES EMPREENDIMENTO LTDA";"435000,00";"06/10/2024";"22:00:49"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"28835";"TRAIPU";20002005724;18;74;"Fundos: Ações, Mútuos de Privatização, Invest. Empresas Emergentes, Invest.Participação e Invest. Índice Mercado";"EMPRESA NOSSA SENHORA DO O E CIA LTDA";"52000,00";"06/10/2024";"22:00:49"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"28835";"TRAIPU";20002005724;19;45;"Aplicação de renda fixa (CDB, RDB e outros)";"POUPANÇA OURO BB";"4873,08";"06/10/2024";"22:00:49"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"28835";"TRAIPU";20002005724;20;29;"Outros bens móveis";"53 BEZERROS ";"87000,00";"06/10/2024";"22:00:49"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"28835";"TRAIPU";20002005725;1;19;"Outros bens imóveis";"IMÓVEL RURAL LOCALIZADO NO POVOADO MAGRO, ZONA RURAL DE TRAIPU-AL";"20000,00";"06/10/2024";"22:00:49"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"28835";"TRAIPU";20002005725;2;12;"Casa";"LOCALIZADA NA CIDADE DE TRAIPU-AL";"60000,00";"06/10/2024";"22:00:49"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"28835";"TRAIPU";20002005726;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"UMA MOTOCICLETA DA MARCA  Yamaha MT03";"20000,00";"06/10/2024";"22:00:49"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"28835";"TRAIPU";20002005727;1;12;"Casa";"LOCALIZADA NO POVOADO PIRANHAS ";"10000,00";"06/10/2024";"22:00:49"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"28835";"TRAIPU";20002005727;2;13;"Terreno";"LOCALIZADA NO SÍTIO LAGOA DA PEDRA ";"20000,00";"06/10/2024";"22:00:49"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"28835";"TRAIPU";20002005728;1;12;"Casa";"RESIDÊNCIAL LOCALIZADA EM TRAIPU-AL";"200000,00";"06/10/2024";"22:00:49"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"28010";"MATRIZ DE CAMARAGIBE";20002364152;1;12;"Casa";"Imóvel Residencial";"150000,00";"06/10/2024";"19:06:56"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"27855";"MACEIÓ";20001894079;1;12;"Casa";"Casa térrea, no bairro da Serraria";"198006,79";"06/10/2024";"20:29:32"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"27855";"MACEIÓ";20001894079;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Fiat Cronos Drive 1.3";"47800,00";"06/10/2024";"20:29:32"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"27855";"MACEIÓ";20001894080;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"FIAT UNO VIVACE, COR CINZA, ANO 2012";"29061,00";"06/10/2024";"20:29:32"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"27855";"MACEIÓ";20001894082;1;13;"Terreno";"LOTE 19 DA QUADRA K DO CONDOMINIO RESIDENCIAL VISTA LAGUNA LOCALIZADO NO MUNICIPIO DE MARECHAL DEODORO/AL";"349217,74";"06/10/2024";"20:29:32"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"27855";"MACEIÓ";20001894082;2;13;"Terreno";"UM TERRENO LOTE 04, SITUADO NA RUA DA IGREJA, CENTRO, JEQUIA DA PRAIA, ESTADO DE ALAGOAS";"20000,00";"06/10/2024";"20:29:32"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"27855";"MACEIÓ";20001894090;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Honda City, Cor Prata, Ano 2014";"50000,00";"06/10/2024";"20:29:32"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AL";"27855";"MACEIÓ";20001894092;10;11;"Apartamento";"APT, LOCALIZADO NO BAIRRO DA PONTA VERDE";"617900,00";"06/10/2024";"20:29:32"
