"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_BEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULT_ATUAL_BEM_CANDIDATO";"HH_ULT_ATUAL_BEM_CANDIDATO"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"MS";"91235";"NOVA ANDRADINA";120002378604;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"volkswagen gol g3";"13200,00";"06/10/2024";"20:03:37"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"MS";"91847";"PARANHOS";120002380021;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"FORD F-4000 TURBO BRANA ANO/MODELO 1998";"35000,00";"06/10/2024";"18:13:17"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"MS";"91847";"PARANHOS";120002380021;2;63;"Dinheiro em espécie - moeda nacional";"SALDO EM ESPECIE";"30000,00";"06/10/2024";"18:13:17"
"22/04/2026";"19:30:43";2024;1;"Eleição Suplementar";6235;"Eleição Suplementar de Bandeirantes-MS";"06/07/2025";"MS";"90298";"BANDEIRANTES";120002524204;5;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"FIAT UNO 2008";"15000,00";"27/06/2025";"16:00:07"
"22/04/2026";"19:30:43";2024;1;"Eleição Suplementar";6235;"Eleição Suplementar de Bandeirantes-MS";"06/07/2025";"MS";"90298";"BANDEIRANTES";120002524204;3;19;"Outros bens imóveis";"CHÁCARA - PARTE FAZ BOA FORTUNA";"1000000,00";"27/06/2025";"16:00:07"
"22/04/2026";"19:30:43";2024;1;"Eleição Suplementar";6235;"Eleição Suplementar de Bandeirantes-MS";"06/07/2025";"MS";"90298";"BANDEIRANTES";120002524204;6;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"FIAT STRAD ANO 2011";"30000,00";"27/06/2025";"16:00:07"
"22/04/2026";"19:30:43";2024;1;"Eleição Suplementar";6235;"Eleição Suplementar de Bandeirantes-MS";"06/07/2025";"MS";"90298";"BANDEIRANTES";120002524204;4;19;"Outros bens imóveis";"CHÁCARA ESMERALDA (REGIÃO BOA FORTUNA)";"1000000,00";"27/06/2025";"16:00:07"
"22/04/2026";"19:30:43";2024;1;"Eleição Suplementar";6235;"Eleição Suplementar de Bandeirantes-MS";"06/07/2025";"MS";"90298";"BANDEIRANTES";120002524204;1;19;"Outros bens imóveis";"CHACARA NO PERÍMETRO URBANO";"1000000,00";"27/06/2025";"16:00:07"
"22/04/2026";"19:30:43";2024;1;"Eleição Suplementar";6235;"Eleição Suplementar de Bandeirantes-MS";"06/07/2025";"MS";"90298";"BANDEIRANTES";120002524204;2;13;"Terreno";"FRENTE PARA BR 163";"100000,00";"27/06/2025";"16:00:07"
"22/04/2026";"19:30:43";2024;1;"Eleição Suplementar";6235;"Eleição Suplementar de Bandeirantes-MS";"06/07/2025";"MS";"90298";"BANDEIRANTES";120002524207;1;12;"Casa";"Casa Alvenaria";"85000,00";"06/07/2025";"17:56:36"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"MS";"90999";"JARDIM";120002238456;1;12;"Casa";"IMOVEL RESIDENCIAL LOCALIZADO A RUA TRES LAGOAS, VILA ANGELICA NA CIDADE DE JARDIM,MS ";"472649,73";"06/10/2024";"18:47:42"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"MS";"90999";"JARDIM";120002238456;2;45;"Aplicação de renda fixa (CDB, RDB e outros)";"FUNDO DE INVESTIMENTOS EM COTAS DE FUNDOS RENDA FIXA HIPERFUNDO  BANCO BRADESCO CNPJ 03.766.575/0001-08";"149,96";"06/10/2024";"18:47:42"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"MS";"90999";"JARDIM";120002238456;3;63;"Dinheiro em espécie - moeda nacional";"DINHEIRO EM ESPECIE";"250000,00";"06/10/2024";"18:47:42"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"MS";"90999";"JARDIM";120002238457;1;1;"Prédio residencial";"IMOVEL RESIDENCIAL LOCALIZADO A RUA BENICIO PIRES DE FEITAS EM JARDIM, MS ";"230000,00";"06/10/2024";"18:47:42"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"MS";"90999";"JARDIM";120002238457;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VEICULO HYUNDAI MODELO IX 35 ANO 2021/2022";"139000,00";"06/10/2024";"18:47:42"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"MS";"90999";"JARDIM";120002238457;3;39;"Outras participações societárias";"COTAS DE CAPITAL NA EMPRESA RURAL PRODUTOS VETERINARIOS CNPJ 07.374.386/0001-40";"100000,00";"06/10/2024";"18:47:42"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"MS";"90999";"JARDIM";120002238457;4;39;"Outras participações societárias";"COTAS DE CAPITAL NA EMPRESA AGROPECUARIA IMBIRUSSU LTDA EPP CNPJ 28.265.855/0001-63";"766666,00";"06/10/2024";"18:47:42"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"MS";"90999";"JARDIM";120002238457;5;41;"Caderneta de poupança";"SALDO EM CADERNETA DE POUPANCA BANCO BRADESCO SA AGENCIA 1466 ";"0,95";"06/10/2024";"18:47:42"
