"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_BEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULT_ATUAL_BEM_CANDIDATO";"HH_ULT_ATUAL_BEM_CANDIDATO"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RN";"16870";"GUAMARÉ";200002135872;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"FIAT STRADA WORKING, fabricação modelo 2015/2015, gasolina/álcool, cor branca, Renavan 1043050121, placas PMW 1626/CE";"54973,00";"06/10/2024";"19:32:44"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RN";"16284";"PORTO DO MANGUE";200002242309;1;12;"Casa";"CASA RESIDENCIAL";"100000,00";"06/10/2024";"20:02:59"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RN";"16284";"PORTO DO MANGUE";200002242309;2;72;"Fundo de Longo Prazo e Fundo de Investimentos em Direitos Creditórios (FIDC)";"FUNDO DE INVESTIMENTOD BB ELETROBRAS";"6054,31";"06/10/2024";"20:02:59"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RN";"16284";"PORTO DO MANGUE";200002242309;3;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMOVEL DE PASSEIO CRETA 2.0 ";"95000,00";"06/10/2024";"20:02:59"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RN";"16284";"PORTO DO MANGUE";200002242310;1;12;"Casa";"casa residencial";"100000,00";"06/10/2024";"20:02:59"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RN";"16284";"PORTO DO MANGUE";200002242310;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"moto honda biz";"11000,00";"06/10/2024";"20:02:59"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RN";"16284";"PORTO DO MANGUE";200002242310;3;63;"Dinheiro em espécie - moeda nacional";"RESERVA FAMILIAR";"5000,00";"06/10/2024";"20:02:59"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RN";"16284";"PORTO DO MANGUE";200002242310;4;41;"Caderneta de poupança";"POUPANÇA BB";"8245,80";"06/10/2024";"20:02:59"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RN";"18376";"SÃO GONÇALO DO AMARANTE";200001899243;2;45;"Aplicação de renda fixa (CDB, RDB e outros)";"Saldo bancário em aplicação financeira";"119213,06";"06/10/2024";"21:46:53"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RN";"18376";"SÃO GONÇALO DO AMARANTE";200001899243;3;61;"Depósito bancário em conta corrente no País";"Saldo bancário em conta corrente da Caixa Econômica Federal";"5298,58";"06/10/2024";"21:46:53"
