"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_BEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULT_ATUAL_BEM_CANDIDATO";"HH_ULT_ATUAL_BEM_CANDIDATO"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"SE";"31577";"ITABAIANA";260002235987;1;12;"Casa";"01 casa Itabaiana";"100000,00";"06/10/2024";"19:33:12"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"SE";"31577";"ITABAIANA";260002235987;2;12;"Casa";"01 casa - Aracaju";"350000,00";"06/10/2024";"19:33:12"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"SE";"31577";"ITABAIANA";260002235987;3;63;"Dinheiro em espécie - moeda nacional";"Dinheiro";"2000,00";"06/10/2024";"19:33:12"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"SE";"31658";"JAPARATUBA";260001997971;3;12;"Casa";"Casa no povoado Porção";"5000,00";"06/10/2024";"21:45:43"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"SE";"31658";"JAPARATUBA";260001997971;4;12;"Casa";"Casa no povoado Porção";"15000,00";"06/10/2024";"21:45:43"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"SE";"32018";"PEDRINHAS";260001999753;1;12;"Casa";"IMOVEL URBANO PRAÇA DR LEONARDO LEITE, 414, CRISTINAPOLIS-SE";"12000,00";"06/10/2024";"19:36:04"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"SE";"32018";"PEDRINHAS";260001999753;2;12;"Casa";"IMOVEL URBANO, PRAÇA SÃO JOSÉ, 11, PEDRINHAS-SE";"50000,00";"06/10/2024";"19:36:04"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"SE";"31615";"ITABI";260001982681;4;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"FIAT STRADA ANO 2014";"43000,00";"06/10/2024";"19:32:31"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"SE";"31372";"CUMBE";260002002051;2;12;"Casa";"localizada no Bairro Ponto Novo, em Aracaju-SE";"350000,00";"06/10/2024";"18:45:32"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"SE";"31372";"CUMBE";260002002051;3;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CARRO, marca volkswagen, ano 2012";"30000,00";"06/10/2024";"18:45:32"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"SE";"32212";"ROSÁRIO DO CATETE";260002365151;1;61;"Depósito bancário em conta corrente no País";" ";"688,22";"06/10/2024";"20:23:17"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"SE";"32212";"ROSÁRIO DO CATETE";260002365151;2;61;"Depósito bancário em conta corrente no País";" ";"14063,98";"06/10/2024";"20:23:17"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"SE";"32212";"ROSÁRIO DO CATETE";260002365151;3;61;"Depósito bancário em conta corrente no País";" ";"599,82";"06/10/2024";"20:23:17"
