"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"31/10/2022";3262630720;"PB";"#NULO";"00008319972000155";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";48730588;34446773;"26/08/2022";"#NULO";"30000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"19/11/2022";3380718071;"PB";"#NULO";"551268000069990";0;"Fundo Partidário";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";50837181;36990806;"30/09/2022";"#NULO";"40000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"13/10/2022";3262635274;"PB";"#NULO";"553165000030939";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";46437192;31740063;"27/09/2022";"#NULO";"2000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"03/06/2025";3262634451;"PB";"Outro";"112201";1;"Outros Recursos";20220000;"Produção de programas de rádio, televisão ou vídeo";1;"Financeiro";19;"PIX";72551506;54945019;"22/11/2022";"CRIAÇÃO E FINALIZAÇÃO DE PEÇAS PARA IMPRESSOS | CRIAÇÃO E FINALIZAÇÃO DE PEÇAS PARA IMPRESSOS | PRODUÇÃO DOS GUIAS ELEITORIAS";"20000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"30/07/2025";3262632285;"PB";"#NULO";"553502000045760";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";72875656;55307975;"29/08/2022";"#NULO";"20000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"07/07/2025";3262629684;"PB";"#NULO";"184830";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";72757209;55138488;"09/09/2022";"#NULO";"3000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"30/11/2022";3262629119;"PB";"#NULO";"551636000074253";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";51130525;37359156;"15/09/2022";"#NULO";"40000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"24/03/2025";3262637382;"PB";"#NULO";"611681000049196";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";71977878;54324160;"24/08/2022";"#NULO";"1500000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"30/07/2025";3262632285;"PB";"#NULO";"553501000082420";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";72875654;55307966;"29/08/2022";"#NULO";"20000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"30/07/2025";3262632285;"PB";"#NULO";"553501000082420";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";72876050;55308109;"13/09/2022";"#NULO";"20000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"30/07/2025";3262632285;"PB";"Outro";"850010";2;"Fundo Especial de Financiamento de Campanha";20040000;"Locação/cessão de bens imóveis";1;"Financeiro";0;"Cheque";72876066;55308299;"01/09/2022";"LOCAÇÃO DE IMÓVEL - COMITÊ";"5200,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"18/03/2025";3262634945;"PB";"#NULO";"55227500002157";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";71904658;54279314;"29/08/2022";"#NULO";"7480,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"30/07/2025";3262632285;"PB";"#NULO";"553501000082279";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";72876057;55308212;"26/09/2022";"#NULO";"15000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"31/10/2022";3262630720;"PB";"#NULO";"00008319972000155";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";48730601;34446772;"26/08/2022";"#NULO";"100000,00"
"07/06/2026";"15:00:27";2022;2;"Ordinária";"Final";"28/10/2022";3262637147;"PB";"Outro";"271529";2;"Fundo Especial de Financiamento de Campanha";20010000;"Despesas com pessoal";1;"Financeiro";19;"PIX";48179180;33745632;"27/09/2022";"PANFLETAGEM E DISTRIBUIÇÃO DE SANTINHOS";"625,00"
